name,link_id,TMC,from_node_id,to_node_id,link_type_name,direction,link_type_name,direction,length,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,transit_travel_time_in_min,transit_transfer_time_in_min,transit_waiting_time_in_min,transit_fare_in_dollar,BPR_alpha_term,BPR_beta_term,BPR_distance_term,BPR_max_TT_term,fromNode_x,fromNode_y,toNode_x,toNode_y
,720,,7,8,Freeway,121,Freeway,1,343,1,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.351185,40.080645
,723,,7,9,Freeway,124,Freeway,1,1948,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.333365,40.080349
,725,,7,13,Freeway,126,Freeway,1,971,2,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.345515,40.080284
,727,,7,12,Freeway,128,Freeway,1,2080,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.341417,40.089321
,733,,7,18,Freeway,134,Freeway,1,6331,19,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.412908,40.074291
,735,,7,22,Freeway,136,Freeway,1,8285,26,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.413032,40.053004
,738,,7,23,Freeway,139,Freeway,1,9012,31,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.411932,40.046737
,742,,7,29,Freeway,143,Freeway,1,19078,42,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.4169,39.996216
,763,,7,50,Freeway,164,Freeway,1,30405,81,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.462325,39.910366
,779,,7,66,Freeway,180,Freeway,1,34738,50,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.161446,39.921833
,780,,7,68,Freeway,181,Freeway,1,33235,64,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.199115,39.906761
,781,,7,67,Freeway,182,Freeway,1,33676,67,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.195843,39.907415
,783,,7,69,Freeway,184,Freeway,1,33573,67,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.222869,39.903848
,798,,7,86,Freeway,199,Freeway,1,19551,54,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.187007,40.041546
,801,,7,88,Freeway,202,Freeway,1,12018,39,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.259572,40.043859
,802,,7,87,Freeway,203,Freeway,1,17759,51,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.213057,40.039
,805,,7,89,Freeway,206,Freeway,1,12875,41,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.355214,40.080801,116.274689,40.029898
,836,,8,9,Freeway,237,Freeway,1,1621,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.333365,40.080349
,837,,8,7,Freeway,238,Freeway,1,694,2,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.355214,40.080801
,841,,8,13,Freeway,242,Freeway,1,644,1,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.345515,40.080284
,846,,8,18,Freeway,247,Freeway,1,6741,21,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.412908,40.074291
,850,,8,22,Freeway,251,Freeway,1,8695,26,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.413032,40.053004
,851,,8,23,Freeway,252,Freeway,1,9422,32,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.411932,40.046737
,862,,8,29,Freeway,263,Freeway,1,18751,42,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.4169,39.996216
,863,,8,12,Freeway,264,Freeway,1,1753,5,2,60,2539.5,1,180,12,0,0,0.1,,0,2,2,5,1,0.15,4,0,99999,116.351185,40.080645,116.341417,40.089321
