name,node_id,QEM_reference_node_id,control_type,control_type_name,cycle_length_in_second,offset_in_second,x,y,geometry
,1,0,0,unknown_control,0,0,19.942,16.269,"<Point><coordinates>19.942,16.269</coordinates></Point>"
,2,0,0,unknown_control,0,0,13.131,45.499,"<Point><coordinates>13.131,45.499</coordinates></Point>"
,3,0,0,unknown_control,0,0,41.105,42.288,"<Point><coordinates>41.105,42.288</coordinates></Point>"
,4,0,0,unknown_control,0,0,29.622,23.653,"<Point><coordinates>29.622,23.653</coordinates></Point>"
,5,0,0,unknown_control,0,0,20.387,33.750,"<Point><coordinates>20.387,33.750</coordinates></Point>"
,6,0,0,unknown_control,0,0,8.195,24.765,"<Point><coordinates>8.195,24.765</coordinates></Point>"
,7,0,0,unknown_control,0,0,39.947,22.762,"<Point><coordinates>39.947,22.762</coordinates></Point>"
,8,0,0,unknown_control,0,0,32.184,39.039,"<Point><coordinates>32.184,39.039</coordinates></Point>"
,9,0,0,unknown_control,0,0,46.070,49.150,"<Point><coordinates>46.070,49.150</coordinates></Point>"
,10,0,0,unknown_control,0,0,15.395,23.920,"<Point><coordinates>15.395,23.920</coordinates></Point>"
,11,0,0,unknown_control,0,0,38.336,13.008,"<Point><coordinates>38.336,13.008</coordinates></Point>"
,12,0,0,unknown_control,0,0,49.706,28.635,"<Point><coordinates>49.706,28.635</coordinates></Point>"
,13,0,0,unknown_control,0,0,17.748,22.292,"<Point><coordinates>17.748,22.292</coordinates></Point>"
,14,0,0,unknown_control,0,0,42.549,29.924,"<Point><coordinates>42.549,29.924</coordinates></Point>"
,15,0,0,unknown_control,0,0,44.178,9.661,"<Point><coordinates>44.178,9.661</coordinates></Point>"
,16,0,0,unknown_control,0,0,26.591,36.243,"<Point><coordinates>26.591,36.243</coordinates></Point>"
,17,0,0,unknown_control,0,0,3.855,9.895,"<Point><coordinates>3.855,9.895</coordinates></Point>"
,18,0,0,unknown_control,0,0,37.401,26.569,"<Point><coordinates>37.401,26.569</coordinates></Point>"
,19,0,0,unknown_control,0,0,45.989,20.442,"<Point><coordinates>45.989,20.442</coordinates></Point>"
,20,0,0,unknown_control,0,0,35.511,15.228,"<Point><coordinates>35.511,15.228</coordinates></Point>"
,21,0,0,unknown_control,0,0,39.026,12.034,"<Point><coordinates>39.026,12.034</coordinates></Point>"
,22,0,0,unknown_control,0,0,28.364,23.084,"<Point><coordinates>28.364,23.084</coordinates></Point>"
,23,0,0,unknown_control,0,0,40.399,46.524,"<Point><coordinates>40.399,46.524</coordinates></Point>"
,24,0,0,unknown_control,0,0,42.439,43.835,"<Point><coordinates>42.439,43.835</coordinates></Point>"
,25,0,0,unknown_control,0,0,48.019,11.272,"<Point><coordinates>48.019,11.272</coordinates></Point>"
,26,0,0,unknown_control,0,0,7.711,35.675,"<Point><coordinates>7.711,35.675</coordinates></Point>"
,27,0,0,unknown_control,0,0,12.451,19.724,"<Point><coordinates>12.451,19.724</coordinates></Point>"
,28,0,0,unknown_control,0,0,11.466,10.009,"<Point><coordinates>11.466,10.009</coordinates></Point>"
,29,0,0,unknown_control,0,0,31.894,3.068,"<Point><coordinates>31.894,3.068</coordinates></Point>"
,30,0,0,unknown_control,0,0,31.193,29.453,"<Point><coordinates>31.193,29.453</coordinates></Point>"
,31,0,0,unknown_control,0,0,27.643,20.718,"<Point><coordinates>27.643,20.718</coordinates></Point>"
,32,0,0,unknown_control,0,0,39.090,29.910,"<Point><coordinates>39.090,29.910</coordinates></Point>"
,33,0,0,unknown_control,0,0,4.979,34.382,"<Point><coordinates>4.979,34.382</coordinates></Point>"
,34,0,0,unknown_control,0,0,48.532,5.628,"<Point><coordinates>48.532,5.628</coordinates></Point>"
,35,0,0,unknown_control,0,0,0.104,43.096,"<Point><coordinates>0.104,43.096</coordinates></Point>"
,36,0,0,unknown_control,0,0,35.129,12.788,"<Point><coordinates>35.129,12.788</coordinates></Point>"
,37,0,0,unknown_control,0,0,16.979,42.131,"<Point><coordinates>16.979,42.131</coordinates></Point>"
,38,0,0,unknown_control,0,0,33.836,16.463,"<Point><coordinates>33.836,16.463</coordinates></Point>"
,39,0,0,unknown_control,0,0,17.004,0.135,"<Point><coordinates>17.004,0.135</coordinates></Point>"
,40,0,0,unknown_control,0,0,47.985,48.353,"<Point><coordinates>47.985,48.353</coordinates></Point>"
,41,0,0,unknown_control,0,0,15.167,40.338,"<Point><coordinates>15.167,40.338</coordinates></Point>"
,42,0,0,unknown_control,0,0,49.188,25.691,"<Point><coordinates>49.188,25.691</coordinates></Point>"
,43,0,0,unknown_control,0,0,39.884,22.741,"<Point><coordinates>39.884,22.741</coordinates></Point>"
,44,0,0,unknown_control,0,0,48.700,3.276,"<Point><coordinates>48.700,3.276</coordinates></Point>"
,45,0,0,unknown_control,0,0,32.483,35.647,"<Point><coordinates>32.483,35.647</coordinates></Point>"
,46,0,0,unknown_control,0,0,36.360,12.366,"<Point><coordinates>36.360,12.366</coordinates></Point>"
,47,0,0,unknown_control,0,0,15.168,2.888,"<Point><coordinates>15.168,2.888</coordinates></Point>"
,48,0,0,unknown_control,0,0,12.586,38.003,"<Point><coordinates>12.586,38.003</coordinates></Point>"
,49,0,0,unknown_control,0,0,24.069,10.394,"<Point><coordinates>24.069,10.394</coordinates></Point>"
,50,0,0,unknown_control,0,0,46.755,43.039,"<Point><coordinates>46.755,43.039</coordinates></Point>"
,51,0,0,unknown_control,0,0,35.573,46.733,"<Point><coordinates>35.573,46.733</coordinates></Point>"
,52,0,0,unknown_control,0,0,36.158,11.897,"<Point><coordinates>36.158,11.897</coordinates></Point>"
,53,0,0,unknown_control,0,0,43.760,46.624,"<Point><coordinates>43.760,46.624</coordinates></Point>"
,54,0,0,unknown_control,0,0,13.387,36.048,"<Point><coordinates>13.387,36.048</coordinates></Point>"
,55,0,0,unknown_control,0,0,21.442,34.131,"<Point><coordinates>21.442,34.131</coordinates></Point>"
,56,0,0,unknown_control,0,0,4.515,24.464,"<Point><coordinates>4.515,24.464</coordinates></Point>"
,57,0,0,unknown_control,0,0,14.379,35.446,"<Point><coordinates>14.379,35.446</coordinates></Point>"
,58,0,0,unknown_control,0,0,17.381,24.472,"<Point><coordinates>17.381,24.472</coordinates></Point>"
,59,0,0,unknown_control,0,0,43.627,19.724,"<Point><coordinates>43.627,19.724</coordinates></Point>"
,60,0,0,unknown_control,0,0,0.062,49.145,"<Point><coordinates>0.062,49.145</coordinates></Point>"
,61,0,0,unknown_control,0,0,42.389,13.101,"<Point><coordinates>42.389,13.101</coordinates></Point>"
,62,0,0,unknown_control,0,0,6.799,22.468,"<Point><coordinates>6.799,22.468</coordinates></Point>"
,63,0,0,unknown_control,0,0,24.429,6.787,"<Point><coordinates>24.429,6.787</coordinates></Point>"
,64,0,0,unknown_control,0,0,44.972,41.699,"<Point><coordinates>44.972,41.699</coordinates></Point>"
,65,0,0,unknown_control,0,0,30.090,18.098,"<Point><coordinates>30.090,18.098</coordinates></Point>"
,66,0,0,unknown_control,0,0,17.571,39.599,"<Point><coordinates>17.571,39.599</coordinates></Point>"
,67,0,0,unknown_control,0,0,30.378,32.490,"<Point><coordinates>30.378,32.490</coordinates></Point>"
,68,0,0,unknown_control,0,0,20.594,9.692,"<Point><coordinates>20.594,9.692</coordinates></Point>"
,69,0,0,unknown_control,0,0,19.930,25.913,"<Point><coordinates>19.930,25.913</coordinates></Point>"
,70,0,0,unknown_control,0,0,5.808,45.172,"<Point><coordinates>5.808,45.172</coordinates></Point>"
,71,0,0,unknown_control,0,0,0.497,25.269,"<Point><coordinates>0.497,25.269</coordinates></Point>"
,72,0,0,unknown_control,0,0,43.952,38.259,"<Point><coordinates>43.952,38.259</coordinates></Point>"
