name,node_id,QEM_reference_node_id,control_type,control_type_name,cycle_length_in_second,offset_in_second,x,y,geometry
,1,0,0,unknown_control,0,0,30.792,21.611,"<Point><coordinates>30.792,21.611</coordinates></Point>"
,2,0,0,unknown_control,0,0,49.256,1.163,"<Point><coordinates>49.256,1.163</coordinates></Point>"
,3,0,0,unknown_control,0,0,31.284,41.613,"<Point><coordinates>31.284,41.613</coordinates></Point>"
,4,0,0,unknown_control,0,0,49.040,6.118,"<Point><coordinates>49.040,6.118</coordinates></Point>"
,5,0,0,unknown_control,0,0,43.522,5.032,"<Point><coordinates>43.522,5.032</coordinates></Point>"
,6,0,0,unknown_control,0,0,20.092,47.851,"<Point><coordinates>20.092,47.851</coordinates></Point>"
,7,0,0,unknown_control,0,0,29.362,43.857,"<Point><coordinates>29.362,43.857</coordinates></Point>"
,8,0,0,unknown_control,0,0,43.592,16.373,"<Point><coordinates>43.592,16.373</coordinates></Point>"
,9,0,0,unknown_control,0,0,8.425,35.962,"<Point><coordinates>8.425,35.962</coordinates></Point>"
,10,0,0,unknown_control,0,0,22.590,4.106,"<Point><coordinates>22.590,4.106</coordinates></Point>"
,11,0,0,unknown_control,0,0,23.546,22.740,"<Point><coordinates>23.546,22.740</coordinates></Point>"
,12,0,0,unknown_control,0,0,24.540,28.941,"<Point><coordinates>24.540,28.941</coordinates></Point>"
,13,0,0,unknown_control,0,0,10.773,6.480,"<Point><coordinates>10.773,6.480</coordinates></Point>"
,14,0,0,unknown_control,0,0,8.468,49.652,"<Point><coordinates>8.468,49.652</coordinates></Point>"
,15,0,0,unknown_control,0,0,29.079,18.591,"<Point><coordinates>29.079,18.591</coordinates></Point>"
,16,0,0,unknown_control,0,0,6.213,8.965,"<Point><coordinates>6.213,8.965</coordinates></Point>"
,17,0,0,unknown_control,0,0,30.165,32.199,"<Point><coordinates>30.165,32.199</coordinates></Point>"
,18,0,0,unknown_control,0,0,36.175,39.439,"<Point><coordinates>36.175,39.439</coordinates></Point>"
,19,0,0,unknown_control,0,0,21.201,19.103,"<Point><coordinates>21.201,19.103</coordinates></Point>"
,20,0,0,unknown_control,0,0,33.213,8.867,"<Point><coordinates>33.213,8.867</coordinates></Point>"
,21,0,0,unknown_control,0,0,5.536,0.010,"<Point><coordinates>5.536,0.010</coordinates></Point>"
,22,0,0,unknown_control,0,0,20.402,32.033,"<Point><coordinates>20.402,32.033</coordinates></Point>"
,23,0,0,unknown_control,0,0,41.624,36.164,"<Point><coordinates>41.624,36.164</coordinates></Point>"
,24,0,0,unknown_control,0,0,6.121,13.830,"<Point><coordinates>6.121,13.830</coordinates></Point>"
,25,0,0,unknown_control,0,0,2.914,17.905,"<Point><coordinates>2.914,17.905</coordinates></Point>"
,26,0,0,unknown_control,0,0,29.446,23.643,"<Point><coordinates>29.446,23.643</coordinates></Point>"
,27,0,0,unknown_control,0,0,33.206,23.665,"<Point><coordinates>33.206,23.665</coordinates></Point>"
,28,0,0,unknown_control,0,0,43.950,8.239,"<Point><coordinates>43.950,8.239</coordinates></Point>"
,29,0,0,unknown_control,0,0,0.877,35.499,"<Point><coordinates>0.877,35.499</coordinates></Point>"
,30,0,0,unknown_control,0,0,16.035,8.880,"<Point><coordinates>16.035,8.880</coordinates></Point>"
,31,0,0,unknown_control,0,0,1.607,24.618,"<Point><coordinates>1.607,24.618</coordinates></Point>"
,32,0,0,unknown_control,0,0,33.822,45.294,"<Point><coordinates>33.822,45.294</coordinates></Point>"
,33,0,0,unknown_control,0,0,5.351,33.197,"<Point><coordinates>5.351,33.197</coordinates></Point>"
,34,0,0,unknown_control,0,0,24.858,30.971,"<Point><coordinates>24.858,30.971</coordinates></Point>"
,35,0,0,unknown_control,0,0,40.939,38.227,"<Point><coordinates>40.939,38.227</coordinates></Point>"
,36,0,0,unknown_control,0,0,38.800,1.402,"<Point><coordinates>38.800,1.402</coordinates></Point>"
,37,0,0,unknown_control,0,0,38.172,36.141,"<Point><coordinates>38.172,36.141</coordinates></Point>"
,38,0,0,unknown_control,0,0,1.899,28.514,"<Point><coordinates>1.899,28.514</coordinates></Point>"
,39,0,0,unknown_control,0,0,14.120,25.943,"<Point><coordinates>14.120,25.943</coordinates></Point>"
,40,0,0,unknown_control,0,0,3.232,19.697,"<Point><coordinates>3.232,19.697</coordinates></Point>"
,41,0,0,unknown_control,0,0,21.550,48.972,"<Point><coordinates>21.550,48.972</coordinates></Point>"
,42,0,0,unknown_control,0,0,25.121,14.175,"<Point><coordinates>25.121,14.175</coordinates></Point>"
,43,0,0,unknown_control,0,0,46.614,33.525,"<Point><coordinates>46.614,33.525</coordinates></Point>"
,44,0,0,unknown_control,0,0,26.917,10.262,"<Point><coordinates>26.917,10.262</coordinates></Point>"
,45,0,0,unknown_control,0,0,17.662,23.509,"<Point><coordinates>17.662,23.509</coordinates></Point>"
,46,0,0,unknown_control,0,0,45.891,16.132,"<Point><coordinates>45.891,16.132</coordinates></Point>"
,47,0,0,unknown_control,0,0,9.526,12.561,"<Point><coordinates>9.526,12.561</coordinates></Point>"
,48,0,0,unknown_control,0,0,44.876,15.993,"<Point><coordinates>44.876,15.993</coordinates></Point>"
,49,0,0,unknown_control,0,0,37.866,5.636,"<Point><coordinates>37.866,5.636</coordinates></Point>"
,50,0,0,unknown_control,0,0,19.544,2.811,"<Point><coordinates>19.544,2.811</coordinates></Point>"
,51,0,0,unknown_control,0,0,1.927,28.760,"<Point><coordinates>1.927,28.760</coordinates></Point>"
,52,0,0,unknown_control,0,0,40.713,20.398,"<Point><coordinates>40.713,20.398</coordinates></Point>"
,53,0,0,unknown_control,0,0,23.997,42.655,"<Point><coordinates>23.997,42.655</coordinates></Point>"
