name,node_id,QEM_reference_node_id,control_type,control_type_name,cycle_length_in_second,offset_in_second,x,y,geometry
,1,0,0,unknown_control,0,0,13.444,12.484,"<Point><coordinates>13.444,12.484</coordinates></Point>"
,2,0,0,unknown_control,0,0,7.732,17.946,"<Point><coordinates>7.732,17.946</coordinates></Point>"
,3,0,0,unknown_control,0,0,1.886,39.326,"<Point><coordinates>1.886,39.326</coordinates></Point>"
,4,0,0,unknown_control,0,0,7.281,3.214,"<Point><coordinates>7.281,3.214</coordinates></Point>"
,5,0,0,unknown_control,0,0,37.773,43.593,"<Point><coordinates>37.773,43.593</coordinates></Point>"
,6,0,0,unknown_control,0,0,30.400,16.924,"<Point><coordinates>30.400,16.924</coordinates></Point>"
,7,0,0,unknown_control,0,0,21.894,7.184,"<Point><coordinates>21.894,7.184</coordinates></Point>"
,8,0,0,unknown_control,0,0,1.652,48.851,"<Point><coordinates>1.652,48.851</coordinates></Point>"
,9,0,0,unknown_control,0,0,18.780,47.577,"<Point><coordinates>18.780,47.577</coordinates></Point>"
,10,0,0,unknown_control,0,0,41.875,21.886,"<Point><coordinates>41.875,21.886</coordinates></Point>"
,11,0,0,unknown_control,0,0,1.341,30.599,"<Point><coordinates>1.341,30.599</coordinates></Point>"
,12,0,0,unknown_control,0,0,20.934,10.378,"<Point><coordinates>20.934,10.378</coordinates></Point>"
,13,0,0,unknown_control,0,0,12.017,41.752,"<Point><coordinates>12.017,41.752</coordinates></Point>"
,14,0,0,unknown_control,0,0,29.653,43.851,"<Point><coordinates>29.653,43.851</coordinates></Point>"
,15,0,0,unknown_control,0,0,10.043,7.387,"<Point><coordinates>10.043,7.387</coordinates></Point>"
,16,0,0,unknown_control,0,0,26.449,15.081,"<Point><coordinates>26.449,15.081</coordinates></Point>"
,17,0,0,unknown_control,0,0,23.670,10.838,"<Point><coordinates>23.670,10.838</coordinates></Point>"
,18,0,0,unknown_control,0,0,9.171,9.818,"<Point><coordinates>9.171,9.818</coordinates></Point>"
,19,0,0,unknown_control,0,0,15.083,11.187,"<Point><coordinates>15.083,11.187</coordinates></Point>"
,20,0,0,unknown_control,0,0,40.666,17.200,"<Point><coordinates>40.666,17.200</coordinates></Point>"
,21,0,0,unknown_control,0,0,19.088,37.366,"<Point><coordinates>19.088,37.366</coordinates></Point>"
,22,0,0,unknown_control,0,0,36.182,16.337,"<Point><coordinates>36.182,16.337</coordinates></Point>"
,23,0,0,unknown_control,0,0,6.521,34.495,"<Point><coordinates>6.521,34.495</coordinates></Point>"
,24,0,0,unknown_control,0,0,17.453,16.059,"<Point><coordinates>17.453,16.059</coordinates></Point>"
,25,0,0,unknown_control,0,0,21.896,41.779,"<Point><coordinates>21.896,41.779</coordinates></Point>"
,26,0,0,unknown_control,0,0,15.708,17.849,"<Point><coordinates>15.708,17.849</coordinates></Point>"
,27,0,0,unknown_control,0,0,19.459,8.134,"<Point><coordinates>19.459,8.134</coordinates></Point>"
,28,0,0,unknown_control,0,0,30.204,49.357,"<Point><coordinates>30.204,49.357</coordinates></Point>"
,29,0,0,unknown_control,0,0,0.150,16.678,"<Point><coordinates>0.150,16.678</coordinates></Point>"
,30,0,0,unknown_control,0,0,40.107,7.616,"<Point><coordinates>40.107,7.616</coordinates></Point>"
,31,0,0,unknown_control,0,0,23.476,4.414,"<Point><coordinates>23.476,4.414</coordinates></Point>"
,32,0,0,unknown_control,0,0,42.481,24.819,"<Point><coordinates>42.481,24.819</coordinates></Point>"
,33,0,0,unknown_control,0,0,49.775,31.966,"<Point><coordinates>49.775,31.966</coordinates></Point>"
,34,0,0,unknown_control,0,0,49.607,45.765,"<Point><coordinates>49.607,45.765</coordinates></Point>"
