name,node_id,QEM_reference_node_id,control_type,control_type_name,cycle_length_in_second,offset_in_second,x,y,geometry
,1,0,0,unknown_control,0,0,47.469,13.331,"<Point><coordinates>47.469,13.331</coordinates></Point>"
,2,0,0,unknown_control,0,0,36.591,9.867,"<Point><coordinates>36.591,9.867</coordinates></Point>"
,3,0,0,unknown_control,0,0,41.157,36.804,"<Point><coordinates>41.157,36.804</coordinates></Point>"
,4,0,0,unknown_control,0,0,19.187,47.680,"<Point><coordinates>19.187,47.680</coordinates></Point>"
,5,0,0,unknown_control,0,0,19.404,24.450,"<Point><coordinates>19.404,24.450</coordinates></Point>"
,6,0,0,unknown_control,0,0,32.543,33.452,"<Point><coordinates>32.543,33.452</coordinates></Point>"
,7,0,0,unknown_control,0,0,49.163,8.658,"<Point><coordinates>49.163,8.658</coordinates></Point>"
,8,0,0,unknown_control,0,0,42.189,14.669,"<Point><coordinates>42.189,14.669</coordinates></Point>"
,9,0,0,unknown_control,0,0,38.939,6.348,"<Point><coordinates>38.939,6.348</coordinates></Point>"
,10,0,0,unknown_control,0,0,45.744,8.951,"<Point><coordinates>45.744,8.951</coordinates></Point>"
,11,0,0,unknown_control,0,0,26.394,40.555,"<Point><coordinates>26.394,40.555</coordinates></Point>"
,12,0,0,unknown_control,0,0,19.374,2.944,"<Point><coordinates>19.374,2.944</coordinates></Point>"
,13,0,0,unknown_control,0,0,21.521,22.092,"<Point><coordinates>21.521,22.092</coordinates></Point>"
,14,0,0,unknown_control,0,0,46.830,13.569,"<Point><coordinates>46.830,13.569</coordinates></Point>"
,15,0,0,unknown_control,0,0,46.910,17.639,"<Point><coordinates>46.910,17.639</coordinates></Point>"
,16,0,0,unknown_control,0,0,18.044,21.110,"<Point><coordinates>18.044,21.110</coordinates></Point>"
,17,0,0,unknown_control,0,0,48.454,5.255,"<Point><coordinates>48.454,5.255</coordinates></Point>"
,18,0,0,unknown_control,0,0,31.737,37.620,"<Point><coordinates>31.737,37.620</coordinates></Point>"
,19,0,0,unknown_control,0,0,41.626,13.198,"<Point><coordinates>41.626,13.198</coordinates></Point>"
,20,0,0,unknown_control,0,0,27.682,8.752,"<Point><coordinates>27.682,8.752</coordinates></Point>"
,21,0,0,unknown_control,0,0,33.177,22.484,"<Point><coordinates>33.177,22.484</coordinates></Point>"
,22,0,0,unknown_control,0,0,48.664,40.422,"<Point><coordinates>48.664,40.422</coordinates></Point>"
,23,0,0,unknown_control,0,0,32.850,49.243,"<Point><coordinates>32.850,49.243</coordinates></Point>"
