g,s_index,v,p,time,node,cost
1,1,5,0,2,61,0.000000
1,2,4,0,627,61,0.000000
1,2,6,0,510,57,12.000000
1,2,6,0,521,2,23.000000
1,2,6,2,522,64,24.000000
1,2,6,0,523,2,25.000000
1,2,6,0,530,46,32.000000
1,2,6,0,563,32,65.000000
1,2,6,2,564,65,66.000000
1,2,6,0,565,32,67.000000
1,2,6,0,701,61,84.000000
1,3,4,0,664,61,0.000000
1,3,6,0,528,4,5.000000
1,3,6,4,529,68,6.000000
1,3,6,0,530,4,7.000000
1,3,6,0,550,34,27.000000
1,3,6,4,551,69,28.000000
1,3,6,0,552,34,29.000000
1,3,6,0,701,61,45.000000
1,4,4,0,648,61,0.000000
1,4,6,0,516,7,15.000000
1,4,6,7,517,74,16.000000
1,4,6,0,518,7,17.000000
1,4,6,0,540,5,39.000000
1,4,6,0,546,37,45.000000
1,4,6,7,547,75,46.000000
1,4,6,0,548,37,47.000000
1,4,6,0,701,61,62.000000
1,5,4,0,657,61,0.000000
1,5,6,0,500,20,14.000000
1,5,6,0,510,15,24.000000
1,5,6,15,511,90,25.000000
1,5,6,0,512,15,26.000000
1,5,6,0,528,45,42.000000
1,5,6,15,529,91,43.000000
1,5,6,0,530,45,44.000000
1,5,6,0,701,61,53.000000
1,6,4,0,621,61,0.000000
1,6,6,0,495,20,14.000000
1,6,6,20,496,100,15.000000
1,6,6,0,497,20,16.000000
1,6,6,0,539,50,58.000000
1,6,6,20,540,101,59.000000
1,6,6,0,541,50,60.000000
1,6,6,0,701,61,88.000000
1,7,4,0,662,61,0.000000
1,7,6,0,537,27,14.000000
1,7,6,27,538,114,15.000000
1,7,6,0,539,27,16.000000
1,7,6,0,556,57,33.000000
1,7,6,27,557,115,34.000000
1,7,6,0,558,57,35.000000
1,7,6,0,701,61,47.000000
1,8,4,0,630,61,0.000000
1,8,6,0,548,29,23.000000
1,8,6,29,549,118,24.000000
1,8,6,0,550,29,25.000000
1,8,6,0,584,59,59.000000
1,8,6,29,585,119,60.000000
1,8,6,0,586,59,61.000000
1,8,6,0,701,61,79.000000
1,9,4,0,616,61,0.000000
1,9,6,0,528,4,5.000000
1,9,6,4,529,68,6.000000
1,9,6,0,530,4,7.000000
1,9,6,0,557,2,34.000000
1,9,6,2,558,64,35.000000
1,9,6,0,559,2,36.000000
1,9,6,0,568,34,45.000000
1,9,6,4,569,69,46.000000
1,9,6,0,570,34,47.000000
1,9,6,0,603,32,80.000000
1,9,6,2,604,65,81.000000
1,9,6,0,605,32,82.000000
1,9,6,0,701,61,99.000000
1,10,4,0,599,61,0.000000
1,10,6,0,516,7,15.000000
1,10,6,7,517,74,16.000000
1,10,6,0,518,7,17.000000
1,10,6,0,540,5,39.000000
1,10,6,0,546,37,45.000000
1,10,6,7,547,75,46.000000
1,10,6,0,548,37,47.000000
1,10,6,0,558,2,57.000000
1,10,6,2,559,64,58.000000
1,10,6,0,560,2,59.000000
1,10,6,0,567,46,66.000000
1,10,6,0,600,32,99.000000
1,10,6,2,601,65,100.000000
1,10,6,0,602,32,101.000000
1,10,6,0,701,61,118.000000
1,11,4,0,583,61,0.000000
1,11,6,0,500,20,14.000000
1,11,6,0,510,15,24.000000
1,11,6,15,511,90,25.000000
1,11,6,0,512,15,26.000000
1,11,6,0,528,45,42.000000
1,11,6,15,529,91,43.000000
1,11,6,0,530,45,44.000000
1,11,6,0,548,5,62.000000
1,11,6,0,550,57,64.000000
1,11,6,0,561,2,75.000000
1,11,6,2,562,64,76.000000
1,11,6,0,563,2,77.000000
1,11,6,0,570,46,84.000000
1,11,6,0,603,32,117.000000
1,11,6,2,604,65,118.000000
1,11,6,0,605,32,119.000000
1,11,6,0,701,61,136.000000
1,12,4,0,588,61,0.000000
1,12,6,0,495,20,14.000000
1,12,6,20,496,100,15.000000
1,12,6,0,497,20,16.000000
1,12,6,0,539,50,58.000000
1,12,6,20,540,101,59.000000
1,12,6,0,541,50,60.000000
1,12,6,0,548,2,67.000000
1,12,6,2,549,64,68.000000
1,12,6,0,550,2,69.000000
1,12,6,0,557,46,76.000000
1,12,6,0,590,32,109.000000
1,12,6,2,591,65,110.000000
1,12,6,0,592,32,111.000000
1,12,6,0,701,61,128.000000
1,13,4,0,612,61,0.000000
1,13,6,0,537,27,14.000000
1,13,6,27,538,114,15.000000
1,13,6,0,539,27,16.000000
1,13,6,0,555,34,32.000000
1,13,6,0,564,2,41.000000
1,13,6,2,565,64,42.000000
1,13,6,0,566,2,43.000000
1,13,6,0,577,57,54.000000
1,13,6,27,578,115,55.000000
1,13,6,0,579,57,56.000000
1,13,6,0,608,32,85.000000
1,13,6,2,609,65,86.000000
1,13,6,0,610,32,87.000000
1,13,6,0,701,61,104.000000
1,14,4,0,584,61,0.000000
1,14,6,0,510,57,12.000000
1,14,6,0,521,2,23.000000
1,14,6,2,522,64,24.000000
1,14,6,0,523,2,25.000000
1,14,6,0,530,46,32.000000
1,14,6,0,563,32,65.000000
1,14,6,2,564,65,66.000000
1,14,6,0,565,32,67.000000
1,14,6,0,575,29,77.000000
1,14,6,29,576,118,78.000000
1,14,6,0,577,29,79.000000
1,14,6,0,611,59,113.000000
1,14,6,29,612,119,114.000000
1,14,6,0,613,59,115.000000
1,14,6,0,701,61,133.000000
1,15,4,0,648,61,0.000000
1,15,6,0,528,4,5.000000
1,15,6,4,529,68,6.000000
1,15,6,0,530,4,7.000000
1,15,6,0,540,7,17.000000
1,15,6,7,541,74,18.000000
1,15,6,0,542,7,19.000000
1,15,6,0,564,5,41.000000
1,15,6,0,570,37,47.000000
1,15,6,7,571,75,48.000000
1,15,6,0,572,37,49.000000
1,15,6,0,573,34,50.000000
1,15,6,4,574,69,51.000000
1,15,6,0,575,34,52.000000
1,15,6,0,701,61,68.000000
1,16,4,0,626,61,0.000000
1,16,6,0,500,20,14.000000
1,16,6,0,510,15,24.000000
1,16,6,15,511,90,25.000000
1,16,6,0,512,15,26.000000
1,16,6,0,528,45,42.000000
1,16,6,15,529,91,43.000000
1,16,6,0,530,45,44.000000
1,16,6,0,536,4,50.000000
1,16,6,4,537,68,51.000000
1,16,6,0,538,4,52.000000
1,16,6,0,558,34,72.000000
1,16,6,4,559,69,73.000000
1,16,6,0,560,34,74.000000
1,16,6,0,701,61,90.000000
1,17,4,0,623,61,0.000000
1,17,6,0,495,20,14.000000
1,17,6,20,496,100,15.000000
1,17,6,0,497,20,16.000000
1,17,6,0,528,4,26.000000
1,17,6,4,529,68,27.000000
1,17,6,0,530,4,28.000000
1,17,6,0,550,34,48.000000
1,17,6,4,551,69,49.000000
1,17,6,0,552,34,50.000000
1,17,6,0,564,50,62.000000
1,17,6,20,565,101,63.000000
1,17,6,0,566,50,64.000000
1,17,6,0,701,61,92.000000
1,18,4,0,653,61,0.000000
1,18,6,0,528,4,5.000000
1,18,6,4,529,68,6.000000
1,18,6,0,530,4,7.000000
1,18,6,0,531,22,8.000000
1,18,6,0,547,27,24.000000
1,18,6,27,548,114,25.000000
1,18,6,0,549,27,26.000000
1,18,6,0,565,34,42.000000
1,18,6,4,566,69,43.000000
1,18,6,0,567,34,44.000000
1,18,6,0,572,57,49.000000
1,18,6,27,573,115,50.000000
1,18,6,0,574,57,51.000000
1,18,6,0,701,61,63.000000
1,19,4,0,621,61,0.000000
1,19,6,0,528,4,5.000000
1,19,6,4,529,68,6.000000
1,19,6,0,530,4,7.000000
1,19,6,0,540,55,17.000000
1,19,6,0,550,29,27.000000
1,19,6,29,551,118,28.000000
1,19,6,0,552,29,29.000000
1,19,6,0,586,59,63.000000
1,19,6,29,587,119,64.000000
1,19,6,0,588,59,65.000000
1,19,6,0,600,34,77.000000
1,19,6,4,601,69,78.000000
1,19,6,0,602,34,79.000000
1,19,6,0,701,61,95.000000
1,20,4,0,615,61,0.000000
1,20,6,0,500,20,14.000000
1,20,6,0,510,15,24.000000
1,20,6,15,511,90,25.000000
1,20,6,0,512,15,26.000000
1,20,6,0,528,45,42.000000
1,20,6,15,529,91,43.000000
1,20,6,0,530,45,44.000000
1,20,6,0,541,7,55.000000
1,20,6,7,542,74,56.000000
1,20,6,0,543,7,57.000000
1,20,6,0,565,5,79.000000
1,20,6,0,571,37,85.000000
1,20,6,7,572,75,86.000000
1,20,6,0,573,37,87.000000
1,20,6,0,701,61,102.000000
1,21,4,0,620,61,0.000000
1,21,6,0,516,7,15.000000
1,21,6,7,517,74,16.000000
1,21,6,0,518,7,17.000000
1,21,6,0,540,5,39.000000
1,21,6,0,546,37,45.000000
1,21,6,7,547,75,46.000000
1,21,6,0,548,37,47.000000
1,21,6,0,564,27,63.000000
1,21,6,27,565,114,64.000000
1,21,6,0,566,27,65.000000
1,21,6,0,583,57,82.000000
1,21,6,27,584,115,83.000000
1,21,6,0,585,57,84.000000
1,21,6,0,701,61,96.000000
