g,s_index,v,p,time,node,cost,accumulative_cost
1,128,4,0,429,61,0.000000,0
1,128,5,0,500,20,14.000000,14
1,128,5,0,510,15,24.000000,24
1,128,5,15,511,90,25.000000,25
1,128,5,0,512,15,26.000000,26
1,128,5,0,528,45,42.000000,42
1,128,5,15,529,91,43.000000,43
1,128,5,0,530,45,44.000000,44
1,128,5,0,541,7,55.000000,55
1,128,5,7,542,74,56.000000,56
1,128,5,0,543,7,57.000000,57
1,128,5,0,553,4,67.000000,67
1,128,5,4,554,68,68.000000,68
1,128,5,0,555,4,69.000000,69
1,128,5,0,574,37,88.000000,88
1,128,5,7,575,75,89.000000,89
1,128,5,0,576,37,90.000000,90
1,128,5,0,577,34,91.000000,91
1,128,5,4,578,69,92.000000,92
1,128,5,0,579,34,93.000000,93
1,128,5,0,595,27,109.000000,109
1,128,5,27,596,114,110.000000,110
1,128,5,0,597,27,111.000000,111
1,128,5,0,614,57,128.000000,128
1,128,5,27,615,115,129.000000,129
1,128,5,0,616,57,130.000000,130
1,128,6,0,1,61,142.000000,142
1,128,6,0,495,20,156.000000,156
1,128,6,20,496,100,157.000000,157
1,128,6,0,497,20,158.000000,158
1,128,6,0,539,50,200.000000,200
1,128,6,20,540,101,201.000000,201
1,128,6,0,541,50,202.000000,202
1,128,6,0,548,2,209.000000,209
1,128,6,2,549,64,210.000000,210
1,128,6,0,550,2,211.000000,211
1,128,6,0,557,46,218.000000,218
1,128,6,0,590,32,251.000000,251
1,128,6,2,591,65,252.000000,252
1,128,6,0,592,32,253.000000,253
1,128,6,0,602,29,263.000000,263
1,128,6,29,603,118,264.000000,264
1,128,6,0,604,29,265.000000,265
1,128,6,0,638,59,299.000000,299
1,128,6,29,639,119,300.000000,300
1,128,6,0,640,59,301.000000,301
1,128,6,0,701,61,319.000000,319
2,128,10,0,478,61,0.000000,319
2,128,11,0,401,19,21.000000,340
2,128,11,19,402,98,22.000000,341
2,128,11,0,403,19,23.000000,342
2,128,11,0,426,8,46.000000,365
2,128,11,8,427,76,47.000000,366
2,128,11,0,428,8,48.000000,367
2,128,11,0,446,49,66.000000,385
2,128,11,19,447,99,67.000000,386
2,128,11,0,448,49,68.000000,387
2,128,11,0,451,38,71.000000,390
2,128,11,8,452,77,72.000000,391
2,128,11,0,453,38,73.000000,392
2,128,11,0,462,6,82.000000,401
2,128,11,6,463,72,83.000000,402
2,128,11,0,464,6,84.000000,403
2,128,11,0,468,36,88.000000,407
2,128,11,6,469,73,89.000000,408
2,128,11,0,470,36,90.000000,409
2,128,11,0,488,5,108.000000,427
2,128,11,5,489,70,109.000000,428
2,128,11,0,490,5,110.000000,429
2,128,11,0,491,35,111.000000,430
2,128,11,5,492,71,112.000000,431
2,128,11,0,493,35,113.000000,432
2,128,12,0,1,61,123.000000,442
2,128,12,0,422,13,131.000000,450
2,128,12,13,423,86,132.000000,451
2,128,12,0,424,13,133.000000,452
2,128,12,0,440,43,149.000000,468
2,128,12,13,441,87,150.000000,469
2,128,12,0,442,43,151.000000,470
2,128,12,0,466,25,175.000000,494
2,128,12,25,467,110,176.000000,495
2,128,12,0,468,25,177.000000,496
2,128,12,0,485,55,194.000000,513
2,128,12,25,486,111,195.000000,514
2,128,12,0,487,55,196.000000,515
2,128,12,0,495,21,204.000000,523
2,128,12,21,496,102,205.000000,524
2,128,12,0,497,21,206.000000,525
2,128,12,0,505,55,214.000000,533
2,128,12,0,537,51,246.000000,565
2,128,12,21,538,103,247.000000,566
2,128,12,0,539,51,248.000000,567
2,128,12,0,681,36,252.000000,571
2,128,12,0,701,61,272.000000,591
3,128,16,0,436,61,0.000000,591
3,128,17,1,175,62,11.000000,602
3,128,17,0,210,31,46.000000,637
3,128,17,1,211,63,47.000000,638
3,128,17,0,212,31,48.000000,639
3,128,17,0,255,3,55.000000,646
3,128,17,3,256,66,56.000000,647
3,128,17,0,257,3,57.000000,648
3,128,17,0,262,33,62.000000,653
3,128,17,3,263,67,63.000000,654
3,128,17,0,264,33,64.000000,655
3,128,17,0,267,23,67.000000,658
3,128,17,23,268,106,68.000000,659
3,128,17,0,269,23,69.000000,660
3,128,17,0,309,53,109.000000,700
3,128,17,23,310,107,110.000000,701
3,128,17,0,311,53,111.000000,702
3,128,17,0,331,26,131.000000,722
3,128,17,26,332,112,132.000000,723
3,128,17,0,333,26,133.000000,724
3,128,17,0,351,56,151.000000,742
3,128,17,26,352,113,152.000000,743
3,128,17,0,353,56,153.000000,744
3,128,18,0,1,61,164.000000,755
3,128,18,0,298,22,168.000000,759
3,128,18,22,299,104,169.000000,760
3,128,18,0,300,22,170.000000,761
3,128,18,0,301,4,171.000000,762
3,128,18,0,321,52,191.000000,782
3,128,18,22,322,105,192.000000,783
3,128,18,0,323,52,193.000000,784
3,128,18,0,336,18,206.000000,797
3,128,18,18,337,96,207.000000,798
3,128,18,0,338,18,208.000000,799
3,128,18,0,362,48,232.000000,823
3,128,18,18,363,97,233.000000,824
3,128,18,0,364,48,234.000000,825
3,128,18,0,377,28,243.000000,834
3,128,18,28,378,116,244.000000,835
3,128,18,0,379,28,245.000000,836
3,128,18,0,415,58,281.000000,872
3,128,18,28,416,117,282.000000,873
3,128,18,0,417,58,283.000000,874
3,128,18,0,701,61,311.000000,902
4,121,22,0,413,61,0.000000,902
4,121,23,0,63,30,8.000000,910
4,121,23,30,64,120,9.000000,911
4,121,23,0,65,30,10.000000,912
4,121,23,0,84,60,29.000000,931
4,121,23,30,85,121,30.000000,932
4,121,23,0,86,60,31.000000,933
4,121,23,0,114,14,59.000000,961
4,121,23,14,115,88,60.000000,962
4,121,23,0,116,14,61.000000,963
4,121,23,0,128,44,73.000000,975
4,121,23,14,129,89,74.000000,976
4,121,23,0,130,44,75.000000,977
4,121,23,0,168,11,104.000000,1006
4,121,23,11,169,82,105.000000,1007
4,121,23,0,170,11,106.000000,1008
4,121,23,0,174,41,110.000000,1012
4,121,23,11,175,83,111.000000,1013
4,121,23,0,176,41,112.000000,1014
4,121,24,0,1,61,133.000000,1035
4,121,24,0,10,47,142.000000,1044
4,121,24,0,29,33,161.000000,1063
4,121,24,0,32,9,164.000000,1066
4,121,24,9,33,78,165.000000,1067
4,121,24,0,34,9,166.000000,1068
4,121,24,0,45,52,177.000000,1079
4,121,24,0,53,14,185.000000,1087
4,121,24,0,63,39,195.000000,1097
4,121,24,9,64,79,196.000000,1098
4,121,24,0,65,39,197.000000,1099
4,121,24,0,76,12,208.000000,1110
4,121,24,12,77,84,209.000000,1111
4,121,24,0,78,12,210.000000,1112
4,121,24,0,121,42,253.000000,1155
4,121,24,12,122,85,254.000000,1156
4,121,24,0,123,42,255.000000,1157
4,121,24,0,132,10,264.000000,1166
4,121,24,10,133,80,265.000000,1167
4,121,24,0,134,10,266.000000,1168
4,121,24,0,148,26,280.000000,1182
4,121,24,0,163,40,295.000000,1197
4,121,24,10,164,81,296.000000,1198
4,121,24,0,165,40,297.000000,1199
4,121,24,0,701,61,332.000000,1234
5,39,28,0,558,61,0.000000,1234
5,39,30,0,27,17,26.000000,1260
5,39,30,17,28,94,27.000000,1261
5,39,30,0,29,17,28.000000,1262
5,39,30,0,64,47,63.000000,1297
5,39,30,17,65,95,64.000000,1298
5,39,30,0,66,47,65.000000,1299
5,39,30,0,71,16,70.000000,1304
5,39,30,16,72,92,71.000000,1305
5,39,30,0,73,16,72.000000,1306
5,39,30,0,83,46,82.000000,1316
5,39,30,16,84,93,83.000000,1317
5,39,30,0,85,46,84.000000,1318
5,39,30,0,110,24,109.000000,1343
5,39,30,24,111,108,110.000000,1344
5,39,30,0,112,24,111.000000,1345
5,39,30,0,114,3,113.000000,1347
5,39,30,0,150,54,149.000000,1383
5,39,30,24,151,109,150.000000,1384
5,39,30,0,152,54,151.000000,1385
5,39,30,0,701,61,164.000000,1398
