v,p,value
30,30,-1
1,1,68.000000
1,2,80.000000
1,3,57.000000
1,4,41.000000
1,5,25.000000
1,6,42.000000
1,7,58.000000
1,8,45.000000
1,9,79.000000
1,10,74.000000
1,11,44.000000
1,12,86.000000
1,13,42.000000
1,14,56.000000
1,15,49.000000
1,16,37.000000
1,17,70.000000
1,18,53.000000
1,19,52.000000
1,20,84.000000
1,21,83.000000
1,22,48.000000
1,23,80.000000
1,24,77.000000
1,25,57.000000
1,26,49.000000
1,27,43.000000
1,28,84.000000
1,29,75.000000
1,30,46.000000
2,1,68.000000
2,2,80.000000
2,3,57.000000
2,4,41.000000
2,5,25.000000
2,6,42.000000
2,7,58.000000
2,8,45.000000
2,9,79.000000
2,10,74.000000
2,11,44.000000
2,12,86.000000
2,13,42.000000
2,14,56.000000
2,15,49.000000
2,16,37.000000
2,17,70.000000
2,18,53.000000
2,19,52.000000
2,20,84.000000
2,21,83.000000
2,22,48.000000
2,23,80.000000
2,24,77.000000
2,25,57.000000
2,26,49.000000
2,27,43.000000
2,28,84.000000
2,29,75.000000
2,30,46.000000
3,1,68.000000
3,2,80.000000
3,3,57.000000
3,4,41.000000
3,5,25.000000
3,6,42.000000
3,7,58.000000
3,8,45.000000
3,9,79.000000
3,10,74.000000
3,11,44.000000
3,12,86.000000
3,13,42.000000
3,14,56.000000
3,15,49.000000
3,16,37.000000
3,17,70.000000
3,18,53.000000
3,19,52.000000
3,20,84.000000
3,21,83.000000
3,22,48.000000
3,23,80.000000
3,24,77.000000
3,25,57.000000
3,26,49.000000
3,27,43.000000
3,28,84.000000
3,29,75.000000
3,30,46.000000
4,1,68.000000
4,2,80.000000
4,3,57.000000
4,4,41.000000
4,5,25.000000
4,6,42.000000
4,7,58.000000
4,8,45.000000
4,9,79.000000
4,10,74.000000
4,11,44.000000
4,12,86.000000
4,13,42.000000
4,14,56.000000
4,15,49.000000
4,16,37.000000
4,17,70.000000
4,18,53.000000
4,19,52.000000
4,20,84.000000
4,21,83.000000
4,22,48.000000
4,23,80.000000
4,24,77.000000
4,25,57.000000
4,26,49.000000
4,27,43.000000
4,28,84.000000
4,29,75.000000
4,30,46.000000
5,1,68.000000
5,2,80.000000
5,3,57.000000
5,4,41.000000
5,5,25.000000
5,6,42.000000
