p1,p2,value
30,30,-1
1,1,0.000000
1,2,354.715210
1,3,87.669044
1,4,354.209290
1,5,294.519562
1,6,261.402313
1,7,342.646118
1,8,240.394135
1,9,154.590927
1,10,91.229645
1,11,49.734993
1,12,125.219063
1,13,248.082825
1,14,85.666107
1,15,336.937744
1,16,165.139236
1,17,151.988220
1,18,119.728470
1,19,228.527588
1,20,330.347382
1,21,310.733063
1,22,124.472382
1,23,103.764870
1,24,119.423615
1,25,236.724075
1,26,127.087334
1,27,363.093719
1,28,208.965912
1,29,374.693970
1,30,128.316498
2,1,354.715210
2,2,0.000000
2,3,303.092010
2,4,35.648132
2,5,95.785759
2,6,127.625267
2,7,36.302624
2,8,129.979645
2,9,505.115875
2,10,440.067413
2,11,389.051758
2,12,469.729828
2,13,123.663582
2,14,439.101166
2,15,48.675236
2,16,518.075134
2,17,504.453644
2,18,246.501724
2,19,135.704819
2,20,51.032814
2,21,61.769386
2,22,243.556366
2,23,257.020752
2,24,463.299744
2,25,135.107254
2,26,246.024673
2,27,30.344900
2,28,148.480499
2,29,53.679047
2,30,481.324738
3,1,87.669044
3,2,303.092010
3,3,0.000000
3,4,289.790222
3,5,214.175476
3,6,183.820908
3,7,285.734467
3,8,176.396042
3,9,228.157272
3,10,163.090118
3,11,94.178932
3,12,202.643494
3,13,183.424850
3,14,144.537033
3,15,267.874237
3,16,220.561096
3,17,237.193741
3,18,70.182877
3,19,169.958267
3,20,279.591583
3,21,260.506683
3,22,59.590351
3,23,61.640125
3,24,195.010696
3,25,169.806076
3,26,68.390778
3,27,295.267761
3,28,157.845169
3,29,323.790771
3,30,192.683640
4,1,354.209290
4,2,35.648132
4,3,289.790222
4,4,0.000000
4,5,79.432724
4,6,110.963516
4,7,15.855582
4,8,116.052979
4,9,501.917969
4,10,433.233765
4,11,377.814362
4,12,475.450500
4,13,114.359657
4,14,426.209503
4,15,32.942261
4,16,504.029877
4,17,505.844055
4,18,236.146179
4,19,128.090546
4,20,34.563869
4,21,54.105789
4,22,231.041351
4,23,263.217072
4,24,468.610291
4,25,125.348427
4,26,232.578766
4,27,19.780806
4,28,152.698395
4,29,35.189568
4,30,467.064392
5,1,294.519562
5,2,95.785759
5,3,214.175476
5,4,79.432724
5,5,0.000000
5,6,36.619312
5,7,75.343315
5,8,56.499050
5,9,442.015594
5,10,373.162903
5,11,301.251373
5,12,416.065826
