iter     dual_bound    low_bound            up_bound
iter1           20.       20.75               20.75
iter2            0.        0.00                0.00
iter3            0.        0.00                0.00
iter4            0.        0.00                0.00
iter5            0.        0.00                0.00
iter6            0.        0.00                0.00
iter7            0.        0.00                0.00
iter8            0.        0.00                0.00
iter9            0.        0.00                0.00
iter10           0.        0.00                0.00
iter11           0.        0.00                0.00
iter12           0.        0.00                0.00
iter13           0.        0.00                0.00
iter14           0.        0.00                0.00
iter15           0.        0.00                0.00
iter16           0.        0.00                0.00
iter17           0.        0.00                0.00
iter18           0.        0.00                0.00
iter19           0.        0.00                0.00
iter20           0.        0.00                0.00
iter21           0.        0.00                0.00
iter22           0.        0.00                0.00
iter23           0.        0.00                0.00
iter24           0.        0.00                0.00
iter25           0.        0.00                0.00
iter26           0.        0.00                0.00
iter27           0.        0.00                0.00
iter28           0.        0.00                0.00
iter29           0.        0.00                0.00
iter30           0.        0.00                0.00
iter31           0.        0.00                0.00
iter32           0.        0.00                0.00
iter33           0.        0.00                0.00
iter34           0.        0.00                0.00
iter35           0.        0.00                0.00
iter36           0.        0.00                0.00
iter37           0.        0.00                0.00
iter38           0.        0.00                0.00
iter39           0.        0.00                0.00
iter40           0.        0.00                0.00
iter41           0.        0.00                0.00
iter42           0.        0.00                0.00
iter43           0.        0.00                0.00
iter44           0.        0.00                0.00
iter45           0.        0.00                0.00
iter46           0.        0.00                0.00
iter47           0.        0.00                0.00
iter48           0.        0.00                0.00
iter49           0.        0.00                0.00
iter50           0.        0.00                0.00
