iter     dual_bound    low_bound            up_bound
iter1          258.      258.33             9999.00
iter2       -21160.      258.33             9999.00
iter3          224.      258.33             9999.00
iter4       -15027.      258.33             9999.00
iter5          -17.      258.33             9999.00
iter6        -6837.      258.33             9999.00
iter7         -141.      258.33             9999.00
iter8        -2947.      258.33             9999.00
iter9           20.      258.33             9999.00
iter10         623.      623.48             9999.00
iter11        -847.      623.48             9999.00
iter12         400.      623.48             9999.00
iter13         804.      804.66             9999.00
iter14         103.      804.66             9999.00
iter15         680.      804.66             9999.00
iter16         874.      874.07             9999.00
iter17         590.      874.07             9999.00
iter18         867.      874.07             9999.00
iter19         929.      929.88             9999.00
iter20         787.      929.88             9999.00
iter21         928.      929.88             9999.00
iter22         935.      935.32             9999.00
iter23         947.      947.14             9999.00
iter24         949.      949.94             9999.00
iter25         918.      949.94             9999.00
iter26         963.      963.16             9999.00
iter27         946.      963.16             9999.00
iter28         958.      963.16             9999.00
iter29         968.      968.44             9999.00
iter30         973.      973.17             9999.00
iter31         959.      973.17             9999.00
iter32         978.      978.83             9999.00
iter33         975.      978.83             9999.00
iter34         977.      978.83             9999.00
iter35         981.      981.82             9999.00
iter36         987.      987.11             9999.00
iter37         980.      987.11             9999.00
iter38         990.      990.08             9999.00
iter39         982.      990.08             9999.00
iter40         987.      990.08             9999.00
iter41         990.      990.89             9999.00
iter42         995.      995.05             9999.00
iter43         995.      995.22             9999.00
iter44         995.      995.50             9999.00
iter45         993.      995.50             9999.00
iter46         999.      999.00             9999.00
iter47         997.      999.00             9999.00
iter48         996.      999.00             9999.00
iter49         999.      999.44             9999.00
iter50         999.      999.81             9999.00
