t,A(t):Demand,A(t):Supply,D(t):Supply,Cumulative cost
24,1,0,0,0
28,2,1,0,0
33,2,2,0,0
36,3,2,0,0
54,4,2,0,0
61,5,2,0,0
64,6,3,1,0
65,6,3,2,0
72,6,4,2,0
77,6,5,2,0
84,6,5,3,0
85,6,5,4,0
96,7,5,4,0
112,8,7,4,0
122,8,7,5,0
126,8,7,6,0
133,8,8,6,0
152,8,8,7,0
164,8,8,8,0
169,9,9,8,0
175,10,9,9,0
199,10,10,9,0
235,10,10,10,0
256,11,11,10,0
263,11,11,11,0
267,12,11,11,0
268,12,12,11,0
293,13,12,11,0
299,14,13,11,0
300,15,13,11,0
310,15,13,12,0
322,15,13,13,0
332,15,14,13,0
337,15,15,13,0
352,15,15,14,0
363,15,15,15,0
378,16,16,15,0
402,17,16,15,0
410,18,16,15,0
414,19,17,15,0
416,19,17,16,0
423,20,18,16,0
436,21,18,16,0
439,21,19,16,0
441,21,19,17,0
467,21,20,18,0
469,22,20,18,0
472,22,20,19,0
477,23,21,19,0
483,23,22,19,0
486,23,22,20,0
489,23,22,21,0
496,24,23,21,0
509,24,24,21,0
511,25,25,21,0
512,25,25,22,0
517,26,25,22,0
519,26,25,23,0
522,27,25,23,0
529,28,26,24,0
538,29,27,24,0
542,29,28,24,0
549,30,29,24,0
551,30,29,25,0
557,30,29,26,0
565,30,29,27,0
572,30,29,28,0
574,30,30,28,0
585,30,30,29,0
616,30,30,30,0
