v,p,value
30,30,-1
1,1,277.000000
1,2,9999.000000
1,3,318.000000
1,4,9999.000000
1,5,495.000000
1,6,482.000000
1,7,9999.000000
1,8,480.000000
1,9,136.000000
1,10,199.000000
1,11,217.000000
1,12,183.000000
1,13,481.000000
1,14,180.000000
1,15,9999.000000
1,16,83.000000
1,17,129.000000
1,18,370.000000
1,19,480.000000
1,20,9999.000000
1,21,9999.000000
1,22,368.000000
1,23,387.000000
1,24,176.000000
1,25,484.000000
1,26,367.000000
1,27,9999.000000
1,28,498.000000
1,29,9999.000000
1,30,27.000000
2,1,277.000000
2,2,9999.000000
2,3,318.000000
2,4,9999.000000
2,5,495.000000
2,6,482.000000
2,7,9999.000000
2,8,480.000000
2,9,136.000000
2,10,199.000000
2,11,217.000000
2,12,183.000000
2,13,481.000000
2,14,180.000000
2,15,9999.000000
2,16,83.000000
2,17,129.000000
2,18,370.000000
2,19,480.000000
2,20,9999.000000
2,21,9999.000000
2,22,368.000000
2,23,387.000000
2,24,176.000000
2,25,484.000000
2,26,367.000000
2,27,9999.000000
2,28,498.000000
2,29,9999.000000
2,30,27.000000
3,1,277.000000
3,2,9999.000000
3,3,318.000000
3,4,9999.000000
3,5,495.000000
3,6,482.000000
3,7,9999.000000
3,8,480.000000
3,9,136.000000
3,10,199.000000
3,11,217.000000
3,12,183.000000
3,13,481.000000
3,14,180.000000
3,15,9999.000000
3,16,83.000000
3,17,129.000000
3,18,370.000000
3,19,480.000000
3,20,9999.000000
3,21,9999.000000
3,22,368.000000
3,23,387.000000
3,24,176.000000
3,25,484.000000
3,26,367.000000
3,27,9999.000000
3,28,498.000000
3,29,9999.000000
3,30,27.000000
4,1,277.000000
4,2,9999.000000
4,3,318.000000
4,4,9999.000000
4,5,495.000000
4,6,482.000000
4,7,9999.000000
4,8,480.000000
4,9,136.000000
4,10,199.000000
4,11,217.000000
4,12,183.000000
4,13,481.000000
4,14,180.000000
4,15,9999.000000
4,16,83.000000
4,17,129.000000
4,18,370.000000
4,19,480.000000
4,20,9999.000000
4,21,9999.000000
4,22,368.000000
4,23,387.000000
4,24,176.000000
4,25,484.000000
4,26,367.000000
4,27,9999.000000
4,28,498.000000
4,29,9999.000000
4,30,27.000000
5,1,277.000000
5,2,9999.000000
5,3,318.000000
5,4,9999.000000
5,5,495.000000
5,6,482.000000
5,7,9999.000000
5,8,480.000000
5,9,136.000000
5,10,199.000000
5,11,217.000000
5,12,183.000000
5,13,481.000000
5,14,180.000000
5,15,9999.000000
5,16,83.000000
5,17,129.000000
5,18,370.000000
5,19,480.000000
5,20,9999.000000
5,21,9999.000000
5,22,368.000000
5,23,387.000000
5,24,176.000000
5,25,484.000000
5,26,367.000000
5,27,9999.000000
5,28,498.000000
5,29,9999.000000
5,30,27.000000
6,1,277.000000
6,2,9999.000000
6,3,318.000000
6,4,9999.000000
6,5,495.000000
6,6,482.000000
6,7,9999.000000
6,8,480.000000
6,9,136.000000
6,10,199.000000
6,11,217.000000
6,12,183.000000
6,13,481.000000
6,14,180.000000
6,15,9999.000000
6,16,83.000000
6,17,129.000000
6,18,370.000000
6,19,480.000000
6,20,9999.000000
6,21,9999.000000
6,22,368.000000
6,23,387.000000
6,24,176.000000
6,25,484.000000
6,26,367.000000
6,27,9999.000000
6,28,498.000000
6,29,9999.000000
6,30,27.000000
7,1,277.000000
7,2,9999.000000
7,3,318.000000
7,4,9999.000000
7,5,495.000000
7,6,482.000000
7,7,9999.000000
7,8,480.000000
7,9,136.000000
7,10,199.000000
7,11,217.000000
7,12,183.000000
7,13,481.000000
7,14,180.000000
7,15,9999.000000
7,16,83.000000
7,17,129.000000
7,18,370.000000
7,19,480.000000
7,20,9999.000000
7,21,9999.000000
7,22,368.000000
7,23,387.000000
7,24,176.000000
7,25,484.000000
7,26,367.000000
7,27,9999.000000
7,28,498.000000
7,29,9999.000000
7,30,27.000000
8,1,277.000000
8,2,9999.000000
8,3,318.000000
8,4,9999.000000
8,5,495.000000
8,6,482.000000
8,7,9999.000000
8,8,480.000000
8,9,136.000000
8,10,199.000000
8,11,217.000000
8,12,183.000000
8,13,481.000000
8,14,180.000000
8,15,9999.000000
8,16,83.000000
8,17,129.000000
8,18,370.000000
8,19,480.000000
8,20,9999.000000
8,21,9999.000000
8,22,368.000000
8,23,387.000000
8,24,176.000000
8,25,484.000000
8,26,367.000000
8,27,9999.000000
8,28,498.000000
8,29,9999.000000
8,30,27.000000
9,1,277.000000
9,2,9999.000000
9,3,318.000000
9,4,9999.000000
9,5,495.000000
9,6,482.000000
9,7,9999.000000
9,8,480.000000
9,9,136.000000
9,10,199.000000
9,11,217.000000
9,12,183.000000
9,13,481.000000
9,14,180.000000
9,15,9999.000000
9,16,83.000000
9,17,129.000000
9,18,370.000000
9,19,480.000000
9,20,9999.000000
9,21,9999.000000
9,22,368.000000
9,23,387.000000
9,24,176.000000
9,25,484.000000
9,26,367.000000
9,27,9999.000000
9,28,498.000000
9,29,9999.000000
9,30,27.000000
10,1,277.000000
10,2,9999.000000
10,3,318.000000
10,4,9999.000000
10,5,495.000000
10,6,482.000000
10,7,9999.000000
10,8,480.000000
10,9,136.000000
10,10,199.000000
10,11,217.000000
10,12,183.000000
10,13,481.000000
10,14,180.000000
10,15,9999.000000
10,16,83.000000
10,17,129.000000
10,18,370.000000
10,19,480.000000
10,20,9999.000000
10,21,9999.000000
10,22,368.000000
10,23,387.000000
10,24,176.000000
10,25,484.000000
10,26,367.000000
10,27,9999.000000
10,28,498.000000
10,29,9999.000000
10,30,27.000000
11,1,277.000000
11,2,9999.000000
11,3,318.000000
11,4,9999.000000
11,5,495.000000
11,6,482.000000
11,7,9999.000000
11,8,480.000000
11,9,136.000000
11,10,199.000000
11,11,217.000000
11,12,183.000000
11,13,481.000000
11,14,180.000000
11,15,9999.000000
11,16,83.000000
11,17,129.000000
11,18,370.000000
11,19,480.000000
11,20,9999.000000
11,21,9999.000000
11,22,368.000000
11,23,387.000000
11,24,176.000000
11,25,484.000000
11,26,367.000000
11,27,9999.000000
11,28,498.000000
11,29,9999.000000
11,30,27.000000
12,1,277.000000
12,2,9999.000000
12,3,318.000000
12,4,9999.000000
12,5,495.000000
12,6,482.000000
12,7,9999.000000
12,8,480.000000
12,9,136.000000
12,10,199.000000
12,11,217.000000
12,12,183.000000
12,13,481.000000
12,14,180.000000
12,15,9999.000000
12,16,83.000000
12,17,129.000000
12,18,370.000000
12,19,480.000000
12,20,9999.000000
12,21,9999.000000
12,22,368.000000
12,23,387.000000
12,24,176.000000
12,25,484.000000
12,26,367.000000
12,27,9999.000000
12,28,498.000000
12,29,9999.000000
12,30,27.000000
13,1,277.000000
13,2,9999.000000
13,3,318.000000
13,4,9999.000000
13,5,495.000000
13,6,482.000000
13,7,9999.000000
13,8,480.000000
13,9,136.000000
13,10,199.000000
13,11,217.000000
13,12,183.000000
13,13,481.000000
13,14,180.000000
13,15,9999.000000
13,16,83.000000
13,17,129.000000
13,18,370.000000
13,19,480.000000
13,20,9999.000000
13,21,9999.000000
13,22,368.000000
13,23,387.000000
13,24,176.000000
13,25,484.000000
13,26,367.000000
13,27,9999.000000
13,28,498.000000
13,29,9999.000000
13,30,27.000000
14,1,277.000000
14,2,9999.000000
14,3,318.000000
14,4,9999.000000
14,5,495.000000
14,6,482.000000
14,7,9999.000000
14,8,480.000000
14,9,136.000000
14,10,199.000000
14,11,217.000000
14,12,183.000000
14,13,481.000000
14,14,180.000000
14,15,9999.000000
14,16,83.000000
14,17,129.000000
14,18,370.000000
14,19,480.000000
14,20,9999.000000
14,21,9999.000000
14,22,368.000000
14,23,387.000000
14,24,176.000000
14,25,484.000000
14,26,367.000000
14,27,9999.000000
14,28,498.000000
14,29,9999.000000
14,30,27.000000
15,1,277.000000
15,2,9999.000000
15,3,318.000000
15,4,9999.000000
15,5,495.000000
15,6,482.000000
15,7,9999.000000
15,8,480.000000
15,9,136.000000
15,10,199.000000
15,11,217.000000
15,12,183.000000
15,13,481.000000
15,14,180.000000
15,15,9999.000000
15,16,83.000000
15,17,129.000000
15,18,370.000000
15,19,480.000000
15,20,9999.000000
15,21,9999.000000
15,22,368.000000
15,23,387.000000
15,24,176.000000
15,25,484.000000
15,26,367.000000
15,27,9999.000000
15,28,498.000000
15,29,9999.000000
15,30,27.000000
16,1,277.000000
16,2,9999.000000
16,3,318.000000
16,4,9999.000000
16,5,495.000000
16,6,482.000000
16,7,9999.000000
16,8,480.000000
16,9,136.000000
16,10,199.000000
16,11,217.000000
16,12,183.000000
16,13,481.000000
16,14,180.000000
16,15,9999.000000
16,16,83.000000
16,17,129.000000
16,18,370.000000
16,19,480.000000
16,20,9999.000000
16,21,9999.000000
16,22,368.000000
16,23,387.000000
16,24,176.000000
16,25,484.000000
16,26,367.000000
16,27,9999.000000
16,28,498.000000
16,29,9999.000000
16,30,27.000000
17,1,277.000000
17,2,9999.000000
17,3,318.000000
17,4,9999.000000
17,5,495.000000
17,6,482.000000
17,7,9999.000000
17,8,480.000000
17,9,136.000000
17,10,199.000000
17,11,217.000000
17,12,183.000000
17,13,481.000000
17,14,180.000000
17,15,9999.000000
17,16,83.000000
17,17,129.000000
17,18,370.000000
17,19,480.000000
17,20,9999.000000
17,21,9999.000000
17,22,368.000000
17,23,387.000000
17,24,176.000000
17,25,484.000000
17,26,367.000000
17,27,9999.000000
17,28,498.000000
17,29,9999.000000
17,30,27.000000
18,1,277.000000
18,2,9999.000000
18,3,318.000000
18,4,9999.000000
18,5,495.000000
18,6,482.000000
18,7,9999.000000
18,8,480.000000
18,9,136.000000
18,10,199.000000
18,11,217.000000
18,12,183.000000
18,13,481.000000
18,14,180.000000
18,15,9999.000000
18,16,83.000000
18,17,129.000000
18,18,370.000000
18,19,480.000000
18,20,9999.000000
18,21,9999.000000
18,22,368.000000
18,23,387.000000
18,24,176.000000
18,25,484.000000
18,26,367.000000
18,27,9999.000000
18,28,498.000000
18,29,9999.000000
18,30,27.000000
19,1,277.000000
19,2,9999.000000
19,3,318.000000
19,4,9999.000000
19,5,495.000000
19,6,482.000000
19,7,9999.000000
19,8,480.000000
19,9,136.000000
19,10,199.000000
19,11,217.000000
19,12,183.000000
19,13,481.000000
19,14,180.000000
19,15,9999.000000
19,16,83.000000
19,17,129.000000
19,18,370.000000
19,19,480.000000
19,20,9999.000000
19,21,9999.000000
19,22,368.000000
19,23,387.000000
19,24,176.000000
19,25,484.000000
19,26,367.000000
19,27,9999.000000
19,28,498.000000
19,29,9999.000000
19,30,27.000000
20,1,277.000000
20,2,9999.000000
20,3,318.000000
20,4,9999.000000
20,5,495.000000
20,6,482.000000
20,7,9999.000000
20,8,480.000000
20,9,136.000000
20,10,199.000000
20,11,217.000000
20,12,183.000000
20,13,481.000000
20,14,180.000000
20,15,9999.000000
20,16,83.000000
20,17,129.000000
20,18,370.000000
20,19,480.000000
20,20,9999.000000
20,21,9999.000000
20,22,368.000000
20,23,387.000000
20,24,176.000000
20,25,484.000000
20,26,367.000000
20,27,9999.000000
20,28,498.000000
20,29,9999.000000
20,30,27.000000
21,1,277.000000
21,2,9999.000000
21,3,318.000000
21,4,9999.000000
21,5,495.000000
21,6,482.000000
21,7,9999.000000
21,8,480.000000
21,9,136.000000
21,10,199.000000
21,11,217.000000
21,12,183.000000
21,13,481.000000
21,14,180.000000
21,15,9999.000000
21,16,83.000000
21,17,129.000000
21,18,370.000000
21,19,480.000000
21,20,9999.000000
21,21,9999.000000
21,22,368.000000
21,23,387.000000
21,24,176.000000
21,25,484.000000
21,26,367.000000
21,27,9999.000000
21,28,498.000000
21,29,9999.000000
21,30,27.000000
22,1,277.000000
22,2,9999.000000
22,3,318.000000
22,4,9999.000000
22,5,495.000000
22,6,482.000000
