type,p/v,o_x,o_y,o_t,d_x,d_y,d_t
p,1,19.941999,16.268999,175.000000,35.573002,46.733002,209.000000
p,2,13.131000,45.499001,522.000000,36.158001,11.897000,562.000000
p,3,41.105000,42.287998,256.000000,43.759998,46.624001,261.000000
p,4,29.622000,23.653000,529.000000,13.387000,36.048000,549.000000
p,5,20.386999,33.750000,469.000000,21.441999,34.131001,470.000000
p,6,8.195000,24.764999,436.000000,4.515000,24.464001,439.000000
p,7,39.946999,22.761999,517.000000,14.379000,35.445999,545.000000
p,8,32.183998,39.039001,414.000000,17.381001,24.472000,434.000000
p,9,46.070000,49.150002,28.000000,43.626999,19.724001,57.000000
p,10,15.395000,23.920000,96.000000,0.062000,49.145000,125.000000
p,11,38.335999,13.008000,169.000000,42.389000,13.101000,173.000000
p,12,49.706001,28.635000,54.000000,6.799000,22.468000,97.000000
p,13,17.747999,22.292000,423.000000,24.429001,6.787000,439.000000
p,14,42.549000,29.924000,112.000000,44.972000,41.699001,124.000000
p,15,44.178001,9.661000,511.000000,30.090000,18.098000,527.000000
p,16,26.591000,36.243000,36.000000,17.570999,39.598999,45.000000
p,17,3.855000,9.895000,24.000000,30.378000,32.490002,58.000000
p,18,37.401001,26.569000,293.000000,20.594000,9.692000,316.000000
p,19,45.988998,20.441999,402.000000,19.930000,25.913000,428.000000
p,20,35.511002,15.228000,496.000000,5.808000,45.172001,538.000000
p,21,39.026001,12.034000,477.000000,0.497000,25.268999,517.000000
p,22,28.364000,23.084000,299.000000,43.952000,38.258999,320.000000
p,23,40.398998,46.523998,267.000000,13.843000,16.968000,306.000000
p,24,42.438999,43.834999,61.000000,19.524000,12.881000,99.000000
p,25,48.019001,11.272000,410.000000,30.948000,13.248000,427.000000
p,26,7.711000,35.674999,300.000000,15.145000,19.745001,317.000000
p,27,12.451000,19.724001,538.000000,18.778000,35.535999,555.000000
p,28,11.466000,10.009000,378.000000,47.436001,7.990000,414.000000
p,29,31.893999,3.068000,549.000000,6.843000,25.729000,582.000000
p,30,31.193001,29.452999,64.000000,17.743000,42.465000,82.000000
v,1,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,2,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,3,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,4,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,5,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,6,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,7,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,8,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,9,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,10,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,11,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,12,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,13,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,14,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,15,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,16,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,17,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,18,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,19,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,20,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,21,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,22,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,23,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,24,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,25,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,26,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,27,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,28,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,29,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
v,30,25.000000,25.000000,1.000000,25.000000,25.000000,1.000000
