g,s_index,v,p,time,node,cost,route_type
1,1,1,0,1,61,0.000000,a
1,1,1,0,495,20,14.000000,a
1,1,1,20,496,100,15.000000,b
1,1,1,0,497,20,16.000000,b
1,1,1,0,528,4,26.000000,b
1,1,1,4,529,68,27.000000,b
1,1,1,0,530,4,28.000000,b
1,1,1,0,550,34,48.000000,b
1,1,1,4,551,69,49.000000,b
1,1,1,0,552,34,50.000000,b
1,1,1,0,564,50,62.000000,b
1,1,1,20,565,101,63.000000,b
1,1,1,0,566,50,64.000000,b
1,1,1,0,573,2,71.000000,b
1,1,1,2,574,64,72.000000,b
1,1,1,0,575,2,73.000000,b
1,1,1,0,602,4,100.000000,b
1,1,1,0,615,32,113.000000,b
1,1,1,2,616,65,114.000000,c0
1,1,1,0,617,32,115.000000,c
1,1,1,0,1001,61,132.000000,c
1,1,2,0,1,61,132.000000,a
1,1,3,0,1,61,132.000000,a
1,1,4,0,1,61,132.000000,a
1,1,4,0,476,21,151.000000,a
1,1,4,21,477,102,152.000000,b
1,1,4,0,478,21,153.000000,b
1,1,4,0,486,55,161.000000,b
1,1,4,0,497,1,172.000000,b
1,1,4,0,518,51,193.000000,b
1,1,4,21,519,103,194.000000,b
1,1,4,0,520,51,195.000000,b
1,1,4,0,537,27,208.000000,b
1,1,4,27,538,114,209.000000,b
1,1,4,0,539,27,210.000000,b
1,1,4,0,556,57,227.000000,b
1,1,4,27,557,115,228.000000,c0
1,1,4,0,558,57,229.000000,c
1,1,4,0,1001,61,241.000000,c
1,1,5,0,1,61,241.000000,a
1,1,6,0,1,61,241.000000,a
1,1,6,0,500,20,255.000000,a
1,1,6,0,510,15,265.000000,a
1,1,6,15,511,90,266.000000,b
1,1,6,0,512,15,267.000000,b
1,1,6,0,528,45,283.000000,b
1,1,6,15,529,91,284.000000,b
1,1,6,0,530,45,285.000000,b
1,1,6,0,541,7,296.000000,b
1,1,6,7,542,74,297.000000,b
1,1,6,0,543,7,298.000000,b
1,1,6,0,565,5,320.000000,b
1,1,6,0,571,37,326.000000,b
1,1,6,7,572,75,327.000000,c0
1,1,6,0,573,37,328.000000,c
1,1,6,0,1001,61,343.000000,c
1,1,7,0,1,61,343.000000,a
2,1,8,0,1,61,0.000000,a
2,1,8,0,111,14,18.000000,a
2,1,8,14,112,88,19.000000,b
2,1,8,0,113,14,20.000000,b
2,1,8,0,125,44,32.000000,b
2,1,8,14,126,89,33.000000,b
2,1,8,0,127,44,34.000000,b
2,1,8,0,168,11,63.000000,b
2,1,8,11,169,82,64.000000,b
2,1,8,0,170,11,65.000000,b
2,1,8,0,174,41,69.000000,b
2,1,8,11,175,83,70.000000,b
2,1,8,0,176,41,71.000000,b
2,1,8,0,187,55,82.000000,b
2,1,8,0,198,1,93.000000,b
2,1,8,1,199,62,94.000000,b
2,1,8,0,200,1,95.000000,b
2,1,8,0,234,31,129.000000,b
2,1,8,1,235,63,130.000000,c0
2,1,8,0,236,31,131.000000,c
2,1,8,0,1001,61,155.000000,c
2,1,9,0,1,61,155.000000,a
2,1,10,0,1,61,155.000000,a
3,1,11,0,1,61,0.000000,a
3,1,11,0,422,13,8.000000,a
3,1,11,13,423,86,9.000000,b
3,1,11,0,424,13,10.000000,b
