agent_id,agent_type,from_node_id,to_node_id,departure_time_start,departure_time_window,arrival_time_start,arrival_time_window,capacity,base_profit,VOIVTT_per_hour,VOWT_per_hour
1,0,1,50,30,75,60,90,1,10,,
2,0,2,50,30,71,60,90,1,10,,
3,0,3,50,30,78,60,90,1,10,,
4,0,4,50,30,70,60,90,1,10,,
5,0,5,50,30,83,60,90,1,10,,
6,0,1,50,130,175,160,190,1,10,,
7,0,2,50,130,171,160,190,1,10,,
8,0,3,50,130,178,160,190,1,10,,
9,0,4,50,130,170,160,190,1,10,,
10,0,5,50,130,183,160,190,1,10,,
1001,1,1,50,1,85,40,100,3,,30,0
1002,1,3,50,1,85,40,100,3,,30,0
1003,1,1,50,101,85,140,100,3,,30,0
1004,1,3,50,101,85,140,100,3,,30,0
