name,node_id,QEM_reference_node_id,control_type,control_type_name,cycle_length_in_second,offset_in_second,x,y,geometry
杨闸环岛,1,0,0,unknown_control,0,0,116.598847,39.910862,"<Point><coordinates>‘116.598847,39.910862</coordinates></Point>"
通州北苑,2,0,0,unknown_control,0,0,116.633729,39.90609,"<Point><coordinates>‘116.633729,39.90609</coordinates></Point>"
双桥,3,0,0,unknown_control,0,0,116.575086,39.910304,"<Point><coordinates>‘116.575086,39.910304</coordinates></Point>"
传媒大学,4,0,0,unknown_control,0,0,116.554191,39.909502,"<Point><coordinates>‘116.554191,39.909502</coordinates></Point>"
四惠,5,0,0,unknown_control,0,0,116.508427,39.908152,"<Point><coordinates>‘116.508427,39.908152</coordinates></Point>"
紫金新干线,6,0,0,unknown_control,0,0,116.376994,40.081782,"<Point><coordinates>‘116.376994,40.081782</coordinates></Point>"
矩阵小区,7,0,0,unknown_control,0,0,116.355214,40.080801,"<Point><coordinates>‘116.355214,40.080801</coordinates></Point>"
龙园派出所,8,0,0,unknown_control,0,0,116.351185,40.080645,"<Point><coordinates>‘116.351185,40.080645</coordinates></Point>"
北店时代广场,9,0,0,unknown_control,0,0,116.333365,40.080349,"<Point><coordinates>‘116.333365,40.080349</coordinates></Point>"
回龙观西大街,10,0,0,unknown_control,0,0,116.323333,40.076282,"<Point><coordinates>‘116.323333,40.076282</coordinates></Point>"
回龙观北,11,0,0,unknown_control,0,0,116.322432,40.062903,"<Point><coordinates>‘116.322432,40.062903</coordinates></Point>"
流星花园,12,0,0,unknown_control,0,0,116.341417,40.089321,"<Point><coordinates>‘116.341417,40.089321</coordinates></Point>"
回龙观,13,0,0,unknown_control,0,0,116.345515,40.080284,"<Point><coordinates>‘116.345515,40.080284</coordinates></Point>"
回龙观西大街,14,0,0,unknown_control,0,0,116.323333,40.076282,"<Point><coordinates>‘116.323333,40.076282</coordinates></Point>"
回龙观北,15,0,0,unknown_control,0,0,116.322432,40.062903,"<Point><coordinates>‘116.322432,40.062903</coordinates></Point>"
北七家,16,0,0,unknown_control,0,0,116.411712,40.116431,"<Point><coordinates>‘116.411712,40.116431</coordinates></Point>"
平西府,17,0,0,unknown_control,0,0,116.412136,40.104295,"<Point><coordinates>‘116.412136,40.104295</coordinates></Point>"
天通苑,18,0,0,unknown_control,0,0,116.412908,40.074291,"<Point><coordinates>‘116.412908,40.074291</coordinates></Point>"
天通东苑,19,0,0,unknown_control,0,0,116.432993,40.065309,"<Point><coordinates>‘116.432993,40.065309</coordinates></Point>"
天通苑北一街,20,0,0,unknown_control,0,0,116.419842,40.06476,"<Point><coordinates>‘116.419842,40.06476</coordinates></Point>"
天通中苑,21,0,0,unknown_control,0,0,116.428417,40.074106,"<Point><coordinates>‘116.428417,40.074106</coordinates></Point>"
立水桥,22,0,0,unknown_control,0,0,116.413032,40.053004,"<Point><coordinates>‘116.413032,40.053004</coordinates></Point>"
明天第一城,23,0,0,unknown_control,0,0,116.411932,40.046737,"<Point><coordinates>‘116.411932,40.046737</coordinates></Point>"
清友园,24,0,0,unknown_control,0,0,116.428862,40.041189,"<Point><coordinates>‘116.428862,40.041189</coordinates></Point>"
茉莉园,25,0,0,unknown_control,0,0,116.422087,40.041567,"<Point><coordinates>‘116.422087,40.041567</coordinates></Point>"
易事达广场,26,0,0,unknown_control,0,0,116.421073,40.042089,"<Point><coordinates>‘116.421073,40.042089</coordinates></Point>"
北苑家园,27,0,0,unknown_control,0,0,116.415977,40.040704,"<Point><coordinates>‘116.415977,40.040704</coordinates></Point>"
易初莲花,28,0,0,unknown_control,0,0,116.418289,40.032831,"<Point><coordinates>‘116.418289,40.032831</coordinates></Point>"
欧陆经典,29,0,0,unknown_control,0,0,116.4169,39.996216,"<Point><coordinates>‘116.4169,39.996216</coordinates></Point>"
金域华府,30,0,0,unknown_control,0,0,116.30775,40.064911,"<Point><coordinates>‘116.30775,40.064911</coordinates></Point>"
西二旗,31,0,0,unknown_control,0,0,116.312851,40.0532,"<Point><coordinates>‘116.312851,40.0532</coordinates></Point>"
当代东门,32,0,0,unknown_control,0,0,116.32226,40.04413,"<Point><coordinates>‘116.32226,40.04413</coordinates></Point>"
怡美家园,33,0,0,unknown_control,0,0,116.323226,40.039616,"<Point><coordinates>‘116.323226,40.039616</coordinates></Point>"
安宁庄公交站,34,0,0,unknown_control,0,0,116.323226,40.039616,"<Point><coordinates>‘116.323226,40.039616</coordinates></Point>"
清河小营西,35,0,0,unknown_control,0,0,116.335339,40.036482,"<Point><coordinates>‘116.335339,40.036482</coordinates></Point>"
金山软件,36,0,0,unknown_control,0,0,116.321547,40.036663,"<Point><coordinates>‘116.321547,40.036663</coordinates></Point>"
上地环岛,37,0,0,unknown_control,0,0,116.315619,40.029541,"<Point><coordinates>‘116.315619,40.029541</coordinates></Point>"
上地南口,38,0,0,unknown_control,0,0,116.312202,40.029364,"<Point><coordinates>‘116.312202,40.029364</coordinates></Point>"
南口西站,39,0,0,unknown_control,0,0,116.12441,40.23446,"<Point><coordinates>‘116.12441,40.23446</coordinates></Point>"
南口东街,40,0,0,unknown_control,0,0,116.137462,40.241201,"<Point><coordinates>‘116.137462,40.241201</coordinates></Point>"
西关南路,41,0,0,unknown_control,0,0,116.227241,40.217928,"<Point><coordinates>‘116.227241,40.217928</coordinates></Point>"
火炬街,42,0,0,unknown_control,0,0,116.236564,40.20759,"<Point><coordinates>‘116.236564,40.20759</coordinates></Point>"
润杰经典小区公交站,43,0,0,unknown_control,0,0,116.24073,40.210327,"<Point><coordinates>‘116.24073,40.210327</coordinates></Point>"
东关南里小区,44,0,0,unknown_control,0,0,116.248226,40.213113,"<Point><coordinates>‘116.248226,40.213113</coordinates></Point>"
白浮泉路,45,0,0,unknown_control,0,0,116.239933,40.200396,"<Point><coordinates>‘116.239933,40.200396</coordinates></Point>"
生命科学园,46,0,0,unknown_control,0,0,116.2934,40.094271,"<Point><coordinates>‘116.2934,40.094271</coordinates></Point>"
劲松,47,0,0,unknown_control,0,0,116.461515,39.884524,"<Point><coordinates>‘116.461515,39.884524</coordinates></Point>"
白家庄,48,0,0,unknown_control,0,0,116.461939,39.929476,"<Point><coordinates>‘116.461939,39.929476</coordinates></Point>"
安慧桥,49,0,0,unknown_control,0,0,116.407431,39.988531,"<Point><coordinates>‘116.407431,39.988531</coordinates></Point>"
国贸,50,0,0,unknown_control,0,0,116.462325,39.910366,"<Point><coordinates>‘116.462325,39.910366</coordinates></Point>"
农展桥北,51,0,0,unknown_control,0,0,116.461821,39.944419,"<Point><coordinates>‘116.461821,39.944419</coordinates></Point>"
三元桥,52,0,0,unknown_control,0,0,116.456307,39.956629,"<Point><coordinates>‘116.456307,39.956629</coordinates></Point>"
国展,53,0,0,unknown_control,0,0,116.449676,39.961226,"<Point><coordinates>‘116.449676,39.961226</coordinates></Point>"
西坝河,54,0,0,unknown_control,0,0,116.438969,39.96808,"<Point><coordinates>‘116.438969,39.96808</coordinates></Point>"
安贞桥东,55,0,0,unknown_control,0,0,116.411471,39.969231,"<Point><coordinates>‘116.411471,39.969231</coordinates></Point>"
安贞,56,0,0,unknown_control,0,0,116.401278,39.968804,"<Point><coordinates>‘116.401278,39.968804</coordinates></Point>"
刘家窑,57,0,0,unknown_control,0,0,116.421556,39.857499,"<Point><coordinates>‘116.421556,39.857499</coordinates></Point>"
洋桥,58,0,0,unknown_control,0,0,116.382422,39.857298,"<Point><coordinates>‘116.382422,39.857298</coordinates></Point>"
草桥,59,0,0,unknown_control,0,0,116.359854,39.853637,"<Point><coordinates>‘116.359854,39.853637</coordinates></Point>"
夏家胡同,60,0,0,unknown_control,0,0,116.327367,39.849704,"<Point><coordinates>‘116.327367,39.849704</coordinates></Point>"
六里桥,61,0,0,unknown_control,0,0,116.311188,39.881301,"<Point><coordinates>‘116.311188,39.881301</coordinates></Point>"
菜市口,62,0,0,unknown_control,0,0,116.378893,39.889369,"<Point><coordinates>‘116.378893,39.889369</coordinates></Point>"
湾子,63,0,0,unknown_control,0,0,116.330323,39.890061,"<Point><coordinates>‘116.330323,39.890061</coordinates></Point>"
公主坟,64,0,0,unknown_control,0,0,116.31055,39.902411,"<Point><coordinates>‘116.31055,39.902411</coordinates></Point>"
航天桥,65,0,0,unknown_control,0,0,116.310287,39.924211,"<Point><coordinates>‘116.310287,39.924211</coordinates></Point>"
金安桥南,66,0,0,unknown_control,0,0,116.161446,39.921833,"<Point><coordinates>‘116.161446,39.921833</coordinates></Point>"
古城,67,0,0,unknown_control,0,0,116.195843,39.907415,"<Point><coordinates>‘116.195843,39.907415</coordinates></Point>"
八角,68,0,0,unknown_control,0,0,116.199115,39.906761,"<Point><coordinates>‘116.199115,39.906761</coordinates></Point>"
银河南街,69,0,0,unknown_control,0,0,116.222869,39.903848,"<Point><coordinates>‘116.222869,39.903848</coordinates></Point>"
鲁谷大街,70,0,0,unknown_control,0,0,116.228764,39.904675,"<Point><coordinates>‘116.228764,39.904675</coordinates></Point>"
远洋山水,71,0,0,unknown_control,0,0,116.240512,39.900658,"<Point><coordinates>‘116.240512,39.900658</coordinates></Point>"
玉泉路,72,0,0,unknown_control,0,0,116.253156,39.908625,"<Point><coordinates>‘116.253156,39.908625</coordinates></Point>"
阜玉路口,73,0,0,unknown_control,0,0,116.253065,39.925572,"<Point><coordinates>‘116.253065,39.925572</coordinates></Point>"
定慧寺桥,74,0,0,unknown_control,0,0,116.275005,39.93322,"<Point><coordinates>‘116.275005,39.93322</coordinates></Point>"
国美第一城,75,0,0,unknown_control,0,0,116.513513,39.933421,"<Point><coordinates>‘116.513513,39.933421</coordinates></Point>"
青年路,76,0,0,unknown_control,0,0,116.516699,39.923194,"<Point><coordinates>‘116.516699,39.923194</coordinates></Point>"
农民日报社,77,0,0,unknown_control,0,0,116.501945,39.924812,"<Point><coordinates>‘116.501945,39.924812</coordinates></Point>"
朝阳公园,78,0,0,unknown_control,0,0,116.490188,39.934478,"<Point><coordinates>‘116.490188,39.934478</coordinates></Point>"
东风北桥,79,0,0,unknown_control,0,0,116.487576,39.958356,"<Point><coordinates>‘116.487576,39.958356</coordinates></Point>"
望京六百本,80,0,0,unknown_control,0,0,116.467443,40.006645,"<Point><coordinates>‘116.467443,40.006645</coordinates></Point>"
南湖东园公交站北,81,0,0,unknown_control,0,0,116.462744,39.999512,"<Point><coordinates>‘116.462744,39.999512</coordinates></Point>"
大西洋新城,82,0,0,unknown_control,0,0,116.470002,39.992731,"<Point><coordinates>‘116.470002,39.992731</coordinates></Point>"
南湖西里公交站旁,83,0,0,unknown_control,0,0,116.458045,39.988995,"<Point><coordinates>‘116.458045,39.988995</coordinates></Point>"
望京桥,84,0,0,unknown_control,0,0,116.453823,39.981946,"<Point><coordinates>‘116.453823,39.981946</coordinates></Point>"
芍药居,85,0,0,unknown_control,0,0,116.436061,39.989496,"<Point><coordinates>‘116.436061,39.989496</coordinates></Point>"
温泉白家疃路口南侧,86,0,0,unknown_control,0,0,116.187007,40.041546,"<Point><coordinates>‘116.187007,40.041546</coordinates></Point>"
颐阳山水居东区门前,87,0,0,unknown_control,0,0,116.213057,40.039,"<Point><coordinates>‘116.213057,40.039</coordinates></Point>"
