name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,speed_at_capacity,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id,orientation_code,loop_code,
Loop 202,39263,39263_AB,,,49166,45083, Outlying CBD_Unmetered Ramps,1,0.08545,1,40.0000,40.0000,1235.0000,207,190.0,12.0,"",0.0,"<LineString><coordinates>-111.946165,33.436269,0.0 -111.947621,33.436486,0.0</coordinates></LineString>","<LineString><coordinates>-111.946165,33.436269,0.0 -111.947621,33.436486,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,0,,,
Main St,23260,23260_AB,,,38947,44163, Outlying CBD_Major Arterials ,1,0.15005,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.888802,33.414808,0.0 -111.886206,33.414839,0.0</coordinates></LineString>","<LineString><coordinates>-111.888802,33.414812,0.0 -111.886206,33.414843,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,23260,,,
Main St,23260,23260_BA,,,44163,38947, Outlying CBD_Major Arterials ,1,0.15005,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.886206,33.414847,0.0 -111.888802,33.414816,0.0</coordinates></LineString>","<LineString><coordinates>-111.886206,33.414843,0.0 -111.888802,33.414812,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,23260,,,
McKellips Rd,23275,23275_AB,,,38954,48829,Mixed Urban_Major Arterials ,1,0.18146,2,41.0000,41.0000,857.0000,306,190.0,12.0,"",0.0,"<LineString><coordinates>-111.880306,33.451074,0.0 -111.883445,33.451168,0.0</coordinates></LineString>","<LineString><coordinates>-111.880306,33.451070,0.0 -111.883445,33.451164,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,23275,,,
McKellips Rd,23275,23275_BA,,,48829,38954,Mixed Urban_Major Arterials ,1,0.18146,2,41.0000,41.0000,857.0000,306,190.0,12.0,"",0.0,"<LineString><coordinates>-111.883445,33.451160,0.0 -111.880306,33.451066,0.0</coordinates></LineString>","<LineString><coordinates>-111.883445,33.451164,0.0 -111.880306,33.451070,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,23275,,,
,2216,2216_AB,,,872,45043, Outlying CBD_Centroid Connectors,1,0.61043,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.960517,33.458570,0.0 -111.969231,33.453560,0.0</coordinates></LineString>","<LineString><coordinates>-111.960515,33.458566,0.0 -111.969229,33.453556,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2216,,,
,2216,2216_BA,,,45043,872, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.969227,33.453552,0.0 -111.960513,33.458562,0.0</coordinates></LineString>","<LineString><coordinates>-111.969229,33.453556,0.0 -111.960515,33.458566,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2216,,,
,2403,2403_AB,,,939,9589, Outlying CBD_Centroid Connectors,1,0.27871,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.964713,33.448063,0.0 -111.961177,33.445312,0.0</coordinates></LineString>","<LineString><coordinates>-111.964710,33.448066,0.0 -111.961174,33.445315,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2403,,,
,2403,2403_BA,,,9589,939, Outlying CBD_Centroid Connectors,1,1.66500,1,20.0000,20.0000,99999.0000,205,190.0,12.0,"",0.0,"<LineString><coordinates>-111.961171,33.445318,0.0 -111.964707,33.448069,0.0</coordinates></LineString>","<LineString><coordinates>-111.961174,33.445315,0.0 -111.964710,33.448066,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,2403,,,
Apache Blvd,23250,23250_AB,,,38938,10358,CBD_Major Arterials ,1,0.28581,2,35.0000,35.0000,737.0000,106,190.0,12.0,"",0.0,"<LineString><coordinates>-111.921344,33.414797,0.0 -111.926289,33.414770,0.0</coordinates></LineString>","<LineString><coordinates>-111.921344,33.414793,0.0 -111.926289,33.414766,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,23250,,,
