name,node_id,QEM_reference_node_id,control_type,control_type_name,cycle_length_in_second,offset_in_second,x,y,geometry
,49166,0,0,unknown_control,0,0,-111.946165,33.436269,"<Point><coordinates>-111.946165,33.436269</coordinates></Point>"
,45083,0,0,unknown_control,0,0,-111.947621,33.436486,"<Point><coordinates>-111.947621,33.436486</coordinates></Point>"
,38947,0,1,no_control,0,0,-111.888802,33.414812,"<Point><coordinates>-111.888802,33.414812</coordinates></Point>"
,44163,0,1,no_control,0,0,-111.886206,33.414843,"<Point><coordinates>-111.886206,33.414843</coordinates></Point>"
,38954,0,0,unknown_control,0,0,-111.880306,33.451070,"<Point><coordinates>-111.880306,33.451070</coordinates></Point>"
,48829,0,0,unknown_control,0,0,-111.883445,33.451164,"<Point><coordinates>-111.883445,33.451164</coordinates></Point>"
,9443,0,1,no_control,0,0,-111.974141,33.450969,"<Point><coordinates>-111.974141,33.450969</coordinates></Point>"
,872,0,1,no_control,0,0,-111.960515,33.458566,"<Point><coordinates>-111.960515,33.458566</coordinates></Point>"
,45043,0,1,no_control,0,0,-111.969229,33.453556,"<Point><coordinates>-111.969229,33.453556</coordinates></Point>"
,939,0,1,no_control,0,0,-111.964710,33.448066,"<Point><coordinates>-111.964710,33.448066</coordinates></Point>"
,9589,0,1,no_control,0,0,-111.961174,33.445315,"<Point><coordinates>-111.961174,33.445315</coordinates></Point>"
,38938,0,1,no_control,0,0,-111.921344,33.414793,"<Point><coordinates>-111.921344,33.414793</coordinates></Point>"
,10358,0,0,unknown_control,0,0,-111.926289,33.414766,"<Point><coordinates>-111.926289,33.414766</coordinates></Point>"
,2723,0,1,no_control,0,0,-111.901582,33.432883,"<Point><coordinates>-111.901582,33.432883</coordinates></Point>"
,12442,0,1,no_control,0,0,-111.909242,33.433150,"<Point><coordinates>-111.909242,33.433150</coordinates></Point>"
,31130,0,1,no_control,0,0,-111.901182,33.431126,"<Point><coordinates>-111.901182,33.431126</coordinates></Point>"
,2731,0,1,no_control,0,0,-111.923790,33.434054,"<Point><coordinates>-111.923790,33.434054</coordinates></Point>"
,34770,0,1,no_control,0,0,-111.926216,33.434034,"<Point><coordinates>-111.926216,33.434034</coordinates></Point>"
,44165,0,1,no_control,0,0,-111.878704,33.422137,"<Point><coordinates>-111.878704,33.422137</coordinates></Point>"
,9076,0,1,no_control,0,0,-111.934931,33.461911,"<Point><coordinates>-111.934931,33.461911</coordinates></Point>"
,8871,0,1,no_control,0,0,-111.921887,33.465779,"<Point><coordinates>-111.921887,33.465779</coordinates></Point>"
,1143,0,1,no_control,0,0,-111.921442,33.457671,"<Point><coordinates>-111.921442,33.457671</coordinates></Point>"
,9245,0,1,no_control,0,0,-111.917693,33.458526,"<Point><coordinates>-111.917693,33.458526</coordinates></Point>"
,9250,0,1,no_control,0,0,-111.926326,33.458482,"<Point><coordinates>-111.926326,33.458482</coordinates></Point>"
,9429,0,1,no_control,0,0,-111.922119,33.451235,"<Point><coordinates>-111.922119,33.451235</coordinates></Point>"
,1149,0,1,no_control,0,0,-111.912644,33.456668,"<Point><coordinates>-111.912644,33.456668</coordinates></Point>"
,9242,0,1,no_control,0,0,-111.909046,33.458556,"<Point><coordinates>-111.909046,33.458556</coordinates></Point>"
,1156,0,1,no_control,0,0,-111.904404,33.461976,"<Point><coordinates>-111.904404,33.461976</coordinates></Point>"
,1157,0,1,no_control,0,0,-111.971388,33.432489,"<Point><coordinates>-111.971388,33.432489</coordinates></Point>"
,10098,0,1,no_control,0,0,-111.969618,33.425597,"<Point><coordinates>-111.969618,33.425597</coordinates></Point>"
,43057,0,1,no_control,0,0,-111.960955,33.433249,"<Point><coordinates>-111.960955,33.433249</coordinates></Point>"
,43060,0,1,no_control,0,0,-111.965771,33.431289,"<Point><coordinates>-111.965771,33.431289</coordinates></Point>"
,9936,0,0,unknown_control,0,0,-111.960947,33.429559,"<Point><coordinates>-111.960947,33.429559</coordinates></Point>"
,1158,0,1,no_control,0,0,-111.973721,33.415833,"<Point><coordinates>-111.973721,33.415833</coordinates></Point>"
,49617,0,1,no_control,0,0,-111.974644,33.421916,"<Point><coordinates>-111.974644,33.421916</coordinates></Point>"
,1159,0,1,no_control,0,0,-111.958427,33.447373,"<Point><coordinates>-111.958427,33.447373</coordinates></Point>"
