type,p/v,o_x,o_y,o_t,d_x,d_y,d_t
p,1,-111.937386,33.399036,80.000000,-111.884628,33.371159,92.000000
p,2,-111.971962,33.378220,80.000000,-111.971436,33.352592,82.000000
p,3,-111.921722,33.388481,80.000000,-111.928581,33.361389,84.000000
p,4,-111.971962,33.378220,80.000000,-111.955978,33.382446,86.000000
p,5,-111.973724,33.415833,80.000000,-111.870293,33.385731,92.000000
p,6,-111.974648,33.421917,80.000000,-111.971390,33.432487,86.000000
p,7,-111.900475,33.412708,80.000000,-111.874458,33.414860,83.000000
p,8,-111.956459,33.403774,80.000000,-111.900475,33.412708,91.000000
p,9,-111.974648,33.421917,80.000000,-111.956406,33.414665,89.000000
p,10,-111.911308,33.359707,80.000000,-111.939804,33.372124,88.000000
p,11,-111.899597,33.425518,80.000000,-111.880020,33.385670,86.000000
p,12,-111.964432,33.400131,80.000000,-111.972275,33.392796,82.000000
p,13,-111.899597,33.425518,80.000000,-111.887772,33.470516,85.000000
p,14,-111.883102,33.458874,80.000000,-111.886253,33.425659,90.000000
p,15,-111.929863,33.447269,80.000000,-111.930496,33.461964,87.000000
p,16,-111.971962,33.378220,80.000000,-111.963097,33.360115,84.000000
p,17,-111.929863,33.447269,80.000000,-111.923790,33.434055,87.000000
p,18,-111.884628,33.371159,80.000000,-111.941818,33.381821,92.000000
p,19,-111.916946,33.425594,80.000000,-111.881172,33.434586,85.000000
p,20,-111.951447,33.389282,80.000000,-111.963531,33.390221,87.000000
p,21,-111.878700,33.422138,80.000000,-111.901581,33.432884,90.000000
p,22,-111.971962,33.378220,80.000000,-111.894562,33.356625,91.000000
p,23,-111.878700,33.422138,80.000000,-111.900307,33.418320,88.000000
p,24,-111.923203,33.382607,80.000000,-111.928581,33.361389,83.000000
p,25,-111.930405,33.418995,80.000000,-111.887772,33.470516,89.000000
p,26,-111.945976,33.359787,80.000000,-111.947731,33.396492,92.000000
p,27,-111.916946,33.425594,80.000000,-111.956406,33.414665,92.000000
p,28,-111.914108,33.388294,80.000000,-111.947777,33.403759,92.000000
p,29,-111.971962,33.378220,80.000000,-111.899551,33.382053,93.000000
p,30,-111.974510,33.363663,80.000000,-111.916656,33.372021,92.000000
p,31,-111.923721,33.370323,80.000000,-111.945976,33.359787,84.000000
