number of nodes =,933
number of links =,2967
number of passengers=, 2
number of vehicles =,2
Least Travel Time for Pax,Pax 1,Pax 2,
,22.00,154.00,
Modified Vehilce Time,begining, endinging
virtual35,119
virtual425,403
Reduced Search Space Perc for Veh,Veh 1,Veh 2,Veh 3,Veh 4,
,0.53%,1.81%,76.73%,13.13%,
,
Iteration,Lower Bound,Upper Bound,Gap,Relative_gap,pax 1,pax 2,# of pax not served,best_p1,best_p2,best_# of pax not served,price_p1,price_p2,total_price,
1,88.366661,356.216675,267.850006,75.193%,1,4*,1,1,4*,1,10.00,10.00,20.00,
2,106.216660,108.433311,2.216652,2.044%,1,2,0,1,2,0,10.00,15.00,25.00,
3,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
4,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
5,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
6,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
7,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
8,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
9,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
10,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
11,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
12,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
13,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
14,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
15,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
16,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
17,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
18,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
19,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
20,108.433319,108.433311,-0.000008,-0.000%,1,2,0,1,2,0,10.00,15.00,25.00,
CPU Running Time =,17433, milliseconds
