number of nodes =,933
number of links =,2967
number of passengers=, 11
number of vehicles =,3
Least Travel Time for Pax,Pax 1,Pax 2,Pax 3,Pax 4,Pax 5,Pax 6,Pax 7,Pax 8,Pax 9,Pax 10,Pax 11,
,47.00,45.00,58.00,34.00,46.00,29.00,24.00,46.00,43.00,29.00,47.00,
Modified Vehilce Time,begining, endinging
virtual47,171
virtual5130,290
virtual6200,386
virtual7290,428
virtual85,167
virtual9100,228
virtual10200,318
virtual11290,452
virtual12130,286
virtual13190,318
virtual14270,434
Reduced Search Space Perc for Veh,Veh 1,Veh 2,Veh 3,Veh 4,Veh 5,Veh 6,Veh 7,Veh 8,Veh 9,Veh 10,Veh 11,Veh 12,Veh 13,Veh 14,
,1.15%,0.94%,0.94%,74.24%,29.74%,27.54%,74.03%,75.08%,40.52%,59.37%,50.26%,61.57%,82.83%,82.20%,
,
Iteration,Lower Bound,Upper Bound,Gap,Relative_gap,pax 1,pax 2,pax 3,pax 4,pax 5,pax 6,pax 7,pax 8,pax 9,pax 10,pax 11,# of pax not served,best_p1,best_p2,best_p3,best_p4,best_p5,best_p6,best_p7,best_p8,best_p9,best_p10,best_p11,best_# of pax not served,price_p1,price_p2,price_p3,price_p4,price_p5,price_p6,price_p7,price_p8,price_p9,price_p10,price_p11,total_price,
1,208.633301,731.983337,523.350037,71.498%,1,5*,6*,7*,2,9*,10*,11*,3,3,14*,7,1,5*,6*,7*,2,9*,10*,11*,3,3,14*,7,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,110.00,
2,306.983307,526.299988,219.316681,41.671%,1,1,1,1,2,9*,10*,11*,3,3,14*,4,1,1,1,1,2,9*,10*,11*,3,3,14*,4,10.00,15.00,15.00,15.00,10.00,15.00,15.00,15.00,10.00,10.00,15.00,145.00,
3,329.633270,401.949982,72.316711,17.991%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,18.33,158.33,
4,338.616577,401.949982,63.333405,15.757%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,20.83,160.83,
5,341.116577,401.949982,60.833405,15.135%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,22.83,162.83,
6,343.116577,401.949982,58.833405,14.637%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,24.50,164.50,
7,344.783264,401.949982,57.166718,14.222%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,25.93,165.93,
8,346.211823,401.949982,55.738159,13.867%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,27.18,167.18,
9,347.461823,401.949982,54.488159,13.556%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,28.29,168.29,
10,348.572937,401.949982,53.377045,13.280%,1,1,1,1,2,2,2,2,3,3,14*,1,1,1,1,1,2,2,2,2,3,3,14*,1,10.00,15.00,15.00,15.00,10.00,18.33,18.33,18.33,10.00,10.00,29.29,169.29,
