v,p,value
2,36,-1
1,1,9999.000000
1,2,9999.000000
1,3,9999.000000
1,4,9999.000000
1,5,9999.000000
1,6,9999.000000
1,7,9999.000000
1,8,9999.000000
1,9,9999.000000
1,10,9999.000000
1,11,9999.000000
1,12,9999.000000
1,13,9999.000000
1,14,9999.000000
1,15,9999.000000
1,16,9999.000000
1,17,9999.000000
1,18,9999.000000
1,19,9999.000000
1,20,9999.000000
1,21,9999.000000
1,22,9999.000000
1,23,9999.000000
1,24,9999.000000
1,25,9999.000000
1,26,9999.000000
1,27,9999.000000
1,28,9999.000000
1,29,9999.000000
1,30,9999.000000
1,31,9999.000000
1,32,9999.000000
1,33,9999.000000
1,34,9999.000000
1,35,9999.000000
1,36,9999.000000
2,1,9999.000000
2,2,9999.000000
2,3,9999.000000
2,4,9999.000000
2,5,9999.000000
2,6,9999.000000
2,7,9999.000000
2,8,9999.000000
2,9,9999.000000
2,10,9999.000000
2,11,9999.000000
2,12,9999.000000
2,13,9999.000000
2,14,9999.000000
2,15,9999.000000
2,16,9999.000000
2,17,9999.000000
2,18,9999.000000
2,19,9999.000000
2,20,9999.000000
2,21,9999.000000
2,22,9999.000000
2,23,9999.000000
2,24,9999.000000
2,25,9999.000000
2,26,9999.000000
2,27,9999.000000
2,28,9999.000000
2,29,9999.000000
2,30,9999.000000
2,31,9999.000000
2,32,9999.000000
2,33,9999.000000
2,34,9999.000000
2,35,9999.000000
2,36,9999.000000
