p1,p2,value
2,36,-1
1,1,0.000000
1,2,0.005981
1,3,0.012239
1,4,0.007246
1,5,0.007308
1,6,0.006162
1,7,0.010254
1,8,0.008955
1,9,0.006320
1,10,0.010313
1,11,0.007471
1,12,0.005546
1,13,0.009856
1,14,0.009703
1,15,0.005042
1,16,0.003506
1,17,0.004301
1,18,0.008056
1,19,0.009285
1,20,0.003243
1,21,0.010011
1,22,0.008147
1,23,0.009116
1,24,0.003421
1,25,0.008087
1,26,0.008946
1,27,0.010969
1,28,0.010587
1,29,0.007455
1,30,0.010093
1,31,0.008373
1,32,0.005664
1,33,0.008981
1,34,508.000000
1,35,378.000000
1,36,359.000000
2,1,0.005981
2,2,0.000000
2,3,0.007752
2,4,0.012964
2,5,0.007894
2,6,0.004973
2,7,0.015221
2,8,0.010934
2,9,0.012265
2,10,0.015912
2,11,0.012469
2,12,0.005042
2,13,0.004479
2,14,0.015153
2,15,0.009021
2,16,0.008345
2,17,0.010009
2,18,0.004914
2,19,0.014513
2,20,0.002927
2,21,0.004241
2,22,0.002241
2,23,0.015013
2,24,0.005547
2,25,0.007028
2,26,0.011145
2,27,0.016413
2,28,0.016552
2,29,0.012646
2,30,0.005774
2,31,0.007283
2,32,0.002495
2,33,0.013297
2,34,508.000000
2,35,378.000000
2,36,359.000000
3,1,0.012239
3,2,0.007752
3,3,0.000000
3,4,0.017507
3,5,0.008270
3,6,0.006616
3,7,0.018087
3,8,0.011109
3,9,0.018246
3,10,0.022529
3,11,0.019585
3,12,0.012781
3,13,0.003610
3,14,0.018870
3,15,0.012276
3,16,0.015422
3,17,0.014978
3,18,0.004328
3,19,0.021495
3,20,0.010184
3,21,0.008031
3,22,0.006117
3,23,0.019878
3,24,0.009634
3,25,0.014511
3,26,0.018896
3,27,0.023208
3,28,0.022256
3,29,0.016295
3,30,0.002152
3,31,0.006127
3,32,0.006642
3,33,0.015577
3,34,508.000000
3,35,378.000000
3,36,359.000000
4,1,0.007246
4,2,0.012964
4,3,0.017507
4,4,0.000000
4,5,0.009822
4,6,0.010911
4,7,0.004167
4,8,0.008831
4,9,0.003817
4,10,0.007774
4,11,0.008162
4,12,0.012400
4,13,0.016103
4,14,0.002710
4,15,0.005339
4,16,0.007600
4,17,0.002969
4,18,0.013229
4,19,0.008459
4,20,0.010458
4,21,0.017146
4,22,0.014948
4,23,0.002403
4,24,0.008072
4,25,0.014640
4,26,0.013178
